radial transverse x z speed vx vy vz
0 0 0.8414709848078965 0.54030230586813977 0 0 0 0
0 1 0.85408190710316012 0.52013853535287002 0 0 0 0
0 2 0.86620974956654084 0.49968056771888836 0 0 0 0
0 3 0.87784765253264885 0.47893997425869322 0 0 0 0
0 4 0.88898903345224434 0.45792848612162612 0 0 0 0
0 5 0.89962759061541286 0.43665798767858016 0 0 0 0
0 6 0.90975730671589505 0.41514050980004458 0 0 0 0
0 7 0.91937245225455233 0.39338822305128934 0 0 0 0
0 8 0.92846758878004676 0.37141343080853439 0 0 0 0
0 9 0.93703757196490001 0.34922856229999982 0 0 0 0
0 10 0.94507755451519104 0.32684616557577367 0 0 0 0
0 11 0.95258298891224935 0.30427890041047112 0 0 0 0
0 12 0.95954962998479043 0.28153953114270075 0 0 0 0
0 13 0.96597353731003965 0.25864091945538997 0 0 0 0
0 14 0.97185107744248667 0.23559601710104924 0 0 0 0
0 15 0.97717892596900979 0.21241785857609172 0 0 0 0
0 16 0.98195406938920693 0.18911955374835407 0 0 0 0
0 17 0.98617380681987066 0.16571428044198397 0 0 0 0
0 18 0.98983575152264291 0.14221527698389083 0 0 0 0
0 19 0.99293783225398524 0.11863583471597725 0 0 0 0
0 20 0.99547829443670111 0.094989290477382568 0 0 0 0
0 21 0.99745570115234761 0.071289019060992595 0 0 0 0
0 22 0.99886893395397502 0.047548425648484147 0 0 0 0
0 23 0.99971719349873522 0.023780938228179321 0 0 0 0
0 24 1 6.123233995736766e-17 0 0 0 0
0 25 0.99971719349873522 -0.023780938228179199 0 0 0 0
0 26 0.99886893395397502 -0.047548425648484029 0 0 0 0
0 27 0.99745570115234761 -0.071289019060992484 0 0 0 0
0 28 0.99547829443670111 -0.094989290477382443 0 0 0 0
0 29 0.99293783225398524 -0.11863583471597713 0 0 0 0
0 30 0.98983575152264291 -0.14221527698389072 0 0 0 0
0 31 0.98617380681987066 -0.16571428044198386 0 0 0 0
0 32 0.98195406938920693 -0.18911955374835418 0 0 0 0
0 33 0.97717892596900979 -0.21241785857609161 0 0 0 0
0 34 0.97185107744248667 -0.2355960171010491 0 0 0 0
0 35 0.96597353731003954 -0.25864091945539008 0 0 0 0
0 36 0.95954962998479043 -0.28153953114270064 0 0 0 0
0 37 0.95258298891224935 -0.30427890041047101 0 0 0 0
0 38 0.94507755451519104 -0.32684616557577378 0 0 0 0
0 39 0.93703757196490001 -0.34922856229999971 0 0 0 0
0 40 0.92846758878004676 -0.37141343080853428 0 0 0 0
0 41 0.91937245225455222 -0.3933882230512894 0 0 0 0
0 42 0.90975730671589505 -0.41514050980004447 0 0 0 0
0 43 0.89962759061541298 -0.43665798767858005 0 0 0 0
0 44 0.88898903345224434 -0.45792848612162623 0 0 0 0
0 45 0.87784765253264885 -0.47893997425869328 0 0 0 0
0 46 0.86620974956654107 -0.49968056771888802 0 0 0 0
0 47 0.85408190710316023 -0.52013853535287002 0 0 0 0
0 48 0.84147098480789662 -0.54030230586813965 0 0 0 0
1 0 0.85900163032472765 0.55155860390705935 9.9923793210772732e-06 8.4082972678809532e-06 1.9597052741672934e-21 5.3989055882871675e-06
1 1 0.87187528016780924 0.53097475483938816 3.217196527674331e-05 2.8419091230168643e-05 3.3442704745307061e-21 -1.5079476231597988e-05
1 2 0.88425578601584376 0.51009057954636516 9.3130428196744593e-05 7.7487166853473541e-05 9.1074085124644478e-21 -5.1662516674383488e-05
1 3 0.89613614529374563 0.48891789038908262 0.00024252341143467243 0.0001990115186772511 3.1950621088193836e-20 -0.0001386074331617375
1 4 0.90750963831583265 0.46746866291582662 0.00059051888357628511 0.00047832453826467141 6.1730942183693123e-20 -0.0003462920558633581
1 5 0.91836983208656719 0.44575502908855053 0.0013539024941205497 0.0010866930275284616 1.6416188231889609e-19 -0.0008075581883102116
1 6 0.92871058393914285 0.42378927042087883 0.0029031088579755853 0.0022990618676875965 3.3961783464094259e-19 -0.0017726690525309932
1 7 0.93852604500985548 0.40158381103152452 0.0058017233090459077 0.0045437522063301976 8.7462496776107488e-19 -0.0036075350645830271
1 8 0.94781066354629762 0.37915121061704549 0.010751327742452833 0.0082883261836488933 1.0599857883261382e-18 -0.0068479703050667567
1 9 0.95655918804750206 0.35650415734791646 0.018328394326015206 0.013915577988217628 2.9706096240798676e-18 -0.011928400052971876
1 10 0.96476667023425744 0.33365546069193558 0.028640523275050133 0.021287611346445839 5.0755686514040345e-18 -0.019160302101776969
1 11 0.97242846784792114 0.31061804416902256 0.040608952165051573 0.029454568213232363 8.7440685185496654e-18 -0.027955597065981053
1 12 0.9795402472761402 0.28740493804150702 0.05210375626137137 0.036490990255225619 1.7354248788127395e-17 -0.037191518478510995
1 13 0.98609798600399878 0.26402927194404391 0.060197555579178587 0.040239643139014923 2.6901411417116095e-17 -0.04477183062767285
1 14 0.99209797488920504 0.24050426745732109 0.062849602166222387 0.039185517570628159 4.2654202416920142e-17 -0.049138250937273066
1 15 0.99753682026003077 0.21684323062976027 0.060306020708975401 0.034176057795060645 4.5495926103191907e-17 -0.049687153343093059
1 16 1.0024114458348152 0.19305954445144477 0.054445937697398222 0.02715866333784888 9.5460925506237221e-17 -0.047188633562017371
1 17 1.0067190944619513 0.16916666128452529 0.04743046648325689 0.020502844726036317 1.0644198720075365e-16 -0.042770112332789129
1 18 1.0104573296793646 0.14517809525438855 0.039970400733885421 0.014763591329580137 1.5109063305345945e-16 -0.037143899982103851
1 19 1.01362403709261 0.12110741460589343 0.032031659902435852 0.0096102439073642975 1.5331557598105163e-16 -0.030556021471164794
1 20 1.016217425570799 0.096968234028994696 0.024178820341955745 0.0049313985799485528 1.4249114209163796e-16 -0.023670586413822838
1 21 1.0182360282596881 0.072774206958096596 0.017400885932802881 0.0016956963833448641 2.1071926855876284e-16 -0.017318067011705674
1 22 1.0196787034113495 0.048539017849494229 0.011291248997630437 -0.0008208598205996779 1.7523921616516694e-16 -0.011261371722903715
1 23 1.0205446350299587 0.024276374441266388 0.0060056292891051809 -0.002298587579123817 2.0358357720091746e-16 -0.0055483401391096887
1 24 1.0208333333333333 6.2508013706479485e-17 0.0027630591768033688 -0.0027630591768033688 2.199397397482539e-16 -4.5225498957622231e-17
1 25 1.0205446350299587 -0.024276374441266263 0.0060056292891051905 -0.0022985875791237489 1.7955927771554227e-16 0.0055483401391097269
1 26 1.0196787034113495 -0.048539017849494111 0.011291248997630373 -0.00082085982059953934 1.6813850352296416e-16 0.011261371722903661
1 27 1.0182360282596881 -0.072774206958096485 0.017400885932802864 0.0016956963833448637 1.6645504799827652e-16 0.017318067011705657
1 28 1.016217425570799 -0.096968234028994571 0.024178820341955707 0.0049313985799484686 1.7979272240293694e-16 0.023670586413822817
1 29 1.01362403709261 -0.12110741460589332 0.032031659902435804 0.0096102439073643044 1.5227295014381671e-16 0.030556021471164745
1 30 1.0104573296793646 -0.14517809525438843 0.0399704007338854 0.014763591329580134 1.6163146618647336e-16 0.03714389998210383
1 31 1.0067190944619513 -0.16916666128452518 0.047430466483256828 0.020502844726036265 1.0330760055964219e-16 0.042770112332789073
1 32 1.0024114458348152 -0.19305954445144488 0.054445937697398167 0.027158663337848853 1.1562001754751639e-16 0.047188633562017322
1 33 0.99753682026003077 -0.21684323062976016 0.060306020708975373 0.034176057795060645 4.7092933610612888e-17 0.049687153343093038
1 34 0.99209797488920504 -0.24050426745732095 0.062849602166222374 0.039185517570628173 6.3785043380688754e-17 0.049138250937273038
1 35 0.98609798600399867 -0.26402927194404402 0.060197555579178594 0.040239643139014916 2.502258118344561e-17 0.04477183062767285
1 36 0.9795402472761402 -0.28740493804150691 0.052103756261371419 0.036490990255225647 1.9950167901859193e-17 0.037191518478511036
1 37 0.97242846784792114 -0.31061804416902244 0.040608952165051601 0.02945456821323238 1.3471261515179725e-17 0.02795559706598107
1 38 0.96476667023425744 -0.33365546069193569 0.028640523275050175 0.021287611346445873 6.9028893691913853e-18 0.01916030210177699
1 39 0.95655918804750206 -0.35650415734791635 0.018328394326015247 0.01391557798821765 2.554040377450367e-18 0.011928400052971912
1 40 0.94781066354629762 -0.37915121061704538 0.010751327742452861 0.0082883261836489124 1.6229074948940447e-18 0.0068479703050667775
1 41 0.93852604500985537 -0.40158381103152457 0.0058017233090459251 0.0045437522063302097 8.1428078837298321e-19 0.003607535064583038
1 42 0.92871058393914285 -0.42378927042087872 0.0029031088579755939 0.0022990618676876026 2.6973403794956667e-19 0.0017726690525309988
1 43 0.91836983208656731 -0.44575502908855041 0.001353902494120553 0.0010866930275284644 1.2701613888761077e-19 0.00080755818831021366
1 44 0.90750963831583265 -0.46746866291582673 0.00059051888357628739 0.00047832453826467309 6.6353848136522694e-20 0.00034629205586335956
1 45 0.89613614529374563 -0.48891789038908268 0.00024252341143467322 0.00019901151867725175 3.5854849938879741e-20 0.00013860743316173796
1 46 0.88425578601584398 -0.51009057954636483 9.3130428196745e-05 7.7487166853473826e-05 8.0213275170783133e-21 5.1662516674383779e-05
1 47 0.87187528016780935 -0.53097475483938816 3.2171965276743439e-05 2.8419091230168765e-05 4.8032692147375475e-21 1.5079476231598052e-05
