radial transverse x z speed vx vy vz
0 0 0.8414709848078965 0.54030230586813977 0 0 0 0
0 1 0.85408190710316012 0.52013853535287002 0 0 0 0
0 2 0.86620974956654084 0.49968056771888836 0 0 0 0
0 3 0.87784765253264885 0.47893997425869322 0 0 0 0
0 4 0.88898903345224434 0.45792848612162612 0 0 0 0
0 5 0.89962759061541286 0.43665798767858016 0 0 0 0
0 6 0.90975730671589505 0.41514050980004458 0 0 0 0
0 7 0.91937245225455233 0.39338822305128934 0 0 0 0
0 8 0.92846758878004676 0.37141343080853439 0 0 0 0
0 9 0.93703757196490001 0.34922856229999982 0 0 0 0
0 10 0.94507755451519104 0.32684616557577367 0 0 0 0
0 11 0.95258298891224935 0.30427890041047112 0 0 0 0
0 12 0.95954962998479043 0.28153953114270075 0 0 0 0
0 13 0.96597353731003965 0.25864091945538997 0 0 0 0
0 14 0.97185107744248667 0.23559601710104924 0 0 0 0
0 15 0.97717892596900979 0.21241785857609172 0 0 0 0
0 16 0.98195406938920693 0.18911955374835407 0 0 0 0
0 17 0.98617380681987066 0.16571428044198397 0 0 0 0
0 18 0.98983575152264291 0.14221527698389083 0 0 0 0
0 19 0.99293783225398524 0.11863583471597725 0 0 0 0
0 20 0.99547829443670111 0.094989290477382568 0 0 0 0
0 21 0.99745570115234761 0.071289019060992595 0 0 0 0
0 22 0.99886893395397502 0.047548425648484147 0 0 0 0
0 23 0.99971719349873522 0.023780938228179321 0 0 0 0
0 24 1 6.123233995736766e-17 0 0 0 0
0 25 0.99971719349873522 -0.023780938228179199 0 0 0 0
0 26 0.99886893395397502 -0.047548425648484029 0 0 0 0
0 27 0.99745570115234761 -0.071289019060992484 0 0 0 0
0 28 0.99547829443670111 -0.094989290477382443 0 0 0 0
0 29 0.99293783225398524 -0.11863583471597713 0 0 0 0
0 30 0.98983575152264291 -0.14221527698389072 0 0 0 0
0 31 0.98617380681987066 -0.16571428044198386 0 0 0 0
0 32 0.98195406938920693 -0.18911955374835418 0 0 0 0
0 33 0.97717892596900979 -0.21241785857609161 0 0 0 0
0 34 0.97185107744248667 -0.2355960171010491 0 0 0 0
0 35 0.96597353731003954 -0.25864091945539008 0 0 0 0
0 36 0.95954962998479043 -0.28153953114270064 0 0 0 0
0 37 0.95258298891224935 -0.30427890041047101 0 0 0 0
0 38 0.94507755451519104 -0.32684616557577378 0 0 0 0
0 39 0.93703757196490001 -0.34922856229999971 0 0 0 0
0 40 0.92846758878004676 -0.37141343080853428 0 0 0 0
0 41 0.91937245225455222 -0.3933882230512894 0 0 0 0
0 42 0.90975730671589505 -0.41514050980004447 0 0 0 0
0 43 0.89962759061541298 -0.43665798767858005 0 0 0 0
0 44 0.88898903345224434 -0.45792848612162623 0 0 0 0
0 45 0.87784765253264885 -0.47893997425869328 0 0 0 0
0 46 0.86620974956654107 -0.49968056771888802 0 0 0 0
0 47 0.85408190710316023 -0.52013853535287002 0 0 0 0
0 48 0.84147098480789662 -0.54030230586813965 0 0 0 0
1 0 0.85900163032472765 0.55155860390705935 0 0 0 0
1 1 0.87187528016780924 0.53097475483938816 0 0 0 0
1 2 0.88425578601584376 0.51009057954636516 0 0 0 0
1 3 0.89613614529374563 0.48891789038908262 0 0 0 0
1 4 0.90750963831583265 0.46746866291582662 0 0 0 0
1 5 0.91836983208656719 0.44575502908855053 0 0 0 0
1 6 0.92871058393914285 0.42378927042087883 0 0 0 0
1 7 0.93852604500985548 0.40158381103152452 0 0 0 0
1 8 0.94781066354629762 0.37915121061704549 0 0 0 0
1 9 0.95655918804750206 0.35650415734791646 0 0 0 0
1 10 0.96476667023425744 0.33365546069193558 0 0 0 0
1 11 0.97242846784792114 0.31061804416902256 0 0 0 0
1 12 0.9795402472761402 0.28740493804150702 0 0 0 0
1 13 0.98609798600399878 0.26402927194404391 0 0 0 0
1 14 0.99209797488920504 0.24050426745732109 0 0 0 0
1 15 0.99753682026003077 0.21684323062976027 0 0 0 0
1 16 1.0024114458348152 0.19305954445144477 0 0 0 0
1 17 1.0067190944619513 0.16916666128452529 0 0 0 0
1 18 1.0104573296793646 0.14517809525438855 0 0 0 0
1 19 1.01362403709261 0.12110741460589343 0 0 0 0
1 20 1.016217425570799 0.096968234028994696 0 0 0 0
1 21 1.0182360282596881 0.072774206958096596 0 0 0 0
1 22 1.0196787034113495 0.048539017849494229 0 0 0 0
1 23 1.0205446350299587 0.024276374441266388 0 0 0 0
1 24 1.0208333333333333 6.2508013706479485e-17 0 0 0 0
1 25 1.0205446350299587 -0.024276374441266263 0 0 0 0
1 26 1.0196787034113495 -0.048539017849494111 0 0 0 0
1 27 1.0182360282596881 -0.072774206958096485 0 0 0 0
1 28 1.016217425570799 -0.096968234028994571 0 0 0 0
1 29 1.01362403709261 -0.12110741460589332 0 0 0 0
1 30 1.0104573296793646 -0.14517809525438843 0 0 0 0
1 31 1.0067190944619513 -0.16916666128452518 0 0 0 0
1 32 1.0024114458348152 -0.19305954445144488 0 0 0 0
1 33 0.99753682026003077 -0.21684323062976016 0 0 0 0
1 34 0.99209797488920504 -0.24050426745732095 0 0 0 0
1 35 0.98609798600399867 -0.26402927194404402 0 0 0 0
1 36 0.9795402472761402 -0.28740493804150691 0 0 0 0
1 37 0.97242846784792114 -0.31061804416902244 0 0 0 0
1 38 0.96476667023425744 -0.33365546069193569 0 0 0 0
1 39 0.95655918804750206 -0.35650415734791635 0 0 0 0
1 40 0.94781066354629762 -0.37915121061704538 0 0 0 0
1 41 0.93852604500985537 -0.40158381103152457 0 0 0 0
1 42 0.92871058393914285 -0.42378927042087872 0 0 0 0
1 43 0.91836983208656731 -0.44575502908855041 0 0 0 0
1 44 0.90750963831583265 -0.46746866291582673 0 0 0 0
1 45 0.89613614529374563 -0.48891789038908268 0 0 0 0
1 46 0.88425578601584398 -0.51009057954636483 0 0 0 0
1 47 0.87187528016780935 -0.53097475483938816 0 0 0 0
1 48 0.85900163032472776 -0.55155860390705924 0 0 0 0
2 0 0.87653227584155891 0.56281490194597894 0 0 0 0
2 1 0.88966865323245847 0.5418109743259063 0 0 0 0
2 2 0.90230182246514679 0.52050059137384208 0 0 0 0
2 3 0.91442463805484264 0.49889580651947213 0 0 0 0
2 4 0.92603024317942129 0.47700883971002722 0 0 0 0
2 5 0.93711207355772175 0.45485207049852105 0 0 0 0
2 6 0.94766386116239076 0.43243803104171313 0 0 0 0
2 7 0.95767963776515874 0.40977939901175975 0 0 0 0
2 8 0.96715373831254881 0.38688899042555669 0 0 0 0
2 9 0.97608080413010423 0.36377975239583316 0 0 0 0
2 10 0.98445578595332406 0.3404647558080976 0 0 0 0
2 11 0.99227394678359315 0.3169571879275741 0 0 0 0
2 12 0.99953086456749007 0.29327034494031329 0 0 0 0
2 13 1.006222434697958 0.2694176244326979 0 0 0 0
2 14 1.0123448723359236 0.24541251781359297 0 0 0 0
2 15 1.017894714551052 0.22126860268342888 0 0 0 0
2 16 1.0228688222804239 0.1969995351545355 0 0 0 0
2 17 1.0272643821040319 0.17261904212706664 0 0 0 0
2 18 1.0310789078360865 0.14814091352488629 0 0 0 0
2 19 1.0343102419312347 0.12357899449580964 0 0 0 0
2 20 1.0369565567048971 0.098947177580606852 0 0 0 0
2 21 1.0390163553670289 0.074259394855200625 0 0 0 0
2 22 1.040488472868724 0.049529610050504325 0 0 0 0
2 23 1.0413720765611827 0.024771810654353462 0 0 0 0
2 24 1.0416666666666667 6.3783687455591322e-17 0 0 0 0
2 25 1.0413720765611827 -0.024771810654353334 0 0 0 0
2 26 1.040488472868724 -0.0495296100505042 0 0 0 0
2 27 1.0390163553670289 -0.074259394855200514 0 0 0 0
2 28 1.0369565567048971 -0.098947177580606713 0 0 0 0
2 29 1.0343102419312347 -0.12357899449580953 0 0 0 0
2 30 1.0310789078360865 -0.14814091352488618 0 0 0 0
2 31 1.0272643821040319 -0.17261904212706652 0 0 0 0
2 32 1.0228688222804239 -0.19699953515453561 0 0 0 0
2 33 1.017894714551052 -0.22126860268342877 0 0 0 0
2 34 1.0123448723359236 -0.24541251781359283 0 0 0 0
2 35 1.006222434697958 -0.26941762443269801 0 0 0 0
2 36 0.99953086456749007 -0.29327034494031318 0 0 0 0
2 37 0.99227394678359315 -0.31695718792757399 0 0 0 0
2 38 0.98445578595332406 -0.34046475580809771 0 0 0 0
2 39 0.97608080413010423 -0.36377975239583304 0 0 0 0
2 40 0.96715373831254881 -0.38688899042555658 0 0 0 0
2 41 0.95767963776515863 -0.4097793990117598 0 0 0 0
2 42 0.94766386116239076 -0.43243803104171302 0 0 0 0
2 43 0.93711207355772197 -0.45485207049852094 0 0 0 0
2 44 0.92603024317942129 -0.47700883971002733 0 0 0 0
2 45 0.91442463805484264 -0.49889580651947218 0 0 0 0
2 46 0.90230182246514701 -0.52050059137384175 0 0 0 0
2 47 0.88966865323245858 -0.5418109743259063 0 0 0 0
2 48 0.87653227584155902 -0.56281490194597883 0 0 0 0
3 0 0.89406292135839005 0.57407119998489853 0 0 0 0
3 1 0.90746202629710759 0.55264719381242444 0 0 0 0
3 2 0.92034785891444959 0.53091060320131889 0 0 0 0
3 3 0.93271313081593943 0.50887372264986153 0 0 0 0
