step time energy_relative modified_relative
0 0 0 0
1 0.0010416666666666667 4.0508522516115077e-08 -2.1933191582741712e-15
48 0.050000000000000003 3.8244818067943399e-05 -1.5791897939574031e-14
96 0.10000000000000001 3.4374885140605539e-05 -3.2461123542457735e-14
144 0.14999999999999999 3.2839870211818615e-05 -3.4873774616559323e-14
192 0.20000000000000001 3.211690020488093e-05 -5.812295769426554e-14
240 0.25 3.1102217570325737e-05 -3.728642569066091e-14
288 0.29999999999999999 2.8088608007311523e-05 -7.4353519465494398e-14
336 0.34999999999999998 3.1232958359763627e-05 -2.8732480973391642e-14
384 0.40000000000000002 2.7568543382240561e-05 -2.039786817194979e-14
432 0.45000000000000001 2.9019070701640934e-05 -5.0227008724478521e-14
480 0.5 2.9074179393537236e-05 -7.2160200307220233e-14
528 0.55000000000000004 3.224332290577991e-05 -3.6628429943178661e-14
576 0.59999999999999998 3.2688422291820825e-05 -5.5052310872681696e-14
624 0.65000000000000002 2.9131377949017094e-05 -7.4134187549666988e-14
672 0.69999999999999996 2.8682814636482967e-05 -2.2810519246051381e-14
720 0.75 3.1988902805666962e-05 -8.2907464182763672e-14
768 0.80000000000000004 2.8300096013736831e-05 -5.812295769426554e-14
816 0.84999999999999998 2.926766154307342e-05 -7.8082162034560497e-14
864 0.90000000000000002 3.329573271285263e-05 -7.2818196054702489e-14
912 0.94999999999999996 2.8155267104796794e-05 -6.9528217317291222e-14
960 1 2.9022834603131463e-05 -9.0584081236723269e-14
1008 1.05 3.3384097280339699e-05 -8.2249468435281417e-14
1056 1.1000000000000001 2.9827286387847222e-05 -8.926808974175877e-14
1104 1.1499999999999999 2.8615210363638208e-05 -5.834228961009295e-14
1152 1.2 2.916531278826717e-05 -8.0714145024489495e-14
1200 1.25 2.9297055077939196e-05 -5.2858991714407525e-14
1248 1.3 3.1894003018493932e-05 -1.2545785585328258e-13
1296 1.3500000000000001 3.0464247595297561e-05 -5.0007676808651105e-14
1344 1.3999999999999999 3.0086061638548218e-05 -4.4963042744620506e-14
1392 1.45 3.1386885007207147e-05 -3.1583795879148063e-14
1440 1.5 2.8792051448254177e-05 -6.4044919421605804e-14
1488 1.55 3.1512220073377334e-05 -7.6766170539595986e-14
1536 1.6000000000000001 2.9876562066977986e-05 2.1713859666914295e-14
1584 1.6499999999999999 2.7843794953931151e-05 -1.1843923454680524e-14
1632 1.7 2.9196600504922497e-05 3.4873774616559323e-14
1680 1.75 3.2369878406012636e-05 -3.3338451205767401e-14
1728 1.8 2.9633288486110257e-05 3.5312438448214156e-14
1776 1.8499999999999999 3.1053121543554574e-05 -4.8253021482031762e-15
1824 1.8999999999999999 3.0739382908790177e-05 4.1453732091381836e-14
1872 1.95 2.9451453861238715e-05 -1.3159914949645027e-14
1920 2 3.010174330048623e-05 -2.3029851161878798e-14
1968 2.0499999999999998 3.02880506385107e-05 1.4914570276264365e-14
2016 2.1000000000000001 2.9159696053001203e-05 3.9041081017280249e-14
2064 2.1499999999999999 3.0267857551775281e-05 1.2721251117990193e-14
2112 2.2000000000000002 3.0097407280685875e-05 1.9739872424467541e-14
2160 2.25 3.0102061692126516e-05 -1.1185927707198272e-14
