t pf sf rp rs energy modified
0.010937500000000001 0.3080839147303163 0.26023891631324386 0.14791737036280256 0.14759515324750716 0.002882730620955274 0.0028826633973385307
0.0234375 0.34318924937775985 0.29197690271878673 0.15312772511483905 0.14770097694664652 0.0028829144947914013 0.002882663397338565
0.035937500000000004 0.3634402392314562 0.3127590745423984 0.186394551125979 0.14894486937639403 0.0028830865709134706 0.0028826633973385307
0.0484375 0.40489202399220003 0.3235628660441849 0.2397010949464071 0.15379460089687588 0.0028831636455285184 0.002882663397338495
0.060937500000000006 0.424859664429256 0.35139293508365854 0.20324464964590427 0.16730824459439667 0.0028831460320727312 0.0028826633973384787
0.0734375 0.4537242735118631 0.3615779136866243 0.17503852248779 0.19508430884101732 0.002883082512021913 0.002882663397338534
0.0859375 0.4959267219958423 0.3708680388653359 0.16825126478070904 0.22668694155807517 0.0028830309299003373 0.002882663397338521
0.09843750000000001 0.5111685163276415 0.39002855400914266 0.1787854190817349 0.23279087405742907 0.0028830230332973833 0.0028826633973385064
0.11093750000000001 0.5396574777810361 0.39976968646501904 0.2076848928418708 0.21569975015854023 0.0028830449271709108 0.00288266339733846
0.1234375 0.5600630956750302 0.42865298631515103 0.2464221648785612 0.19573542807190625 0.002883057450418883 0.0028826633973384566
0.13593750000000002 0.5935378425810964 0.4352985956908054 0.26997907542637595 0.18086930880912916 0.002883039733807595 0.0028826633973385086
0.1484375 0.6177638272642909 0.44681666362442396 0.27627439430404366 0.17182951672697533 0.002883006138035143 0.0028826633973384834
0.1609375 0.6365469391791863 0.4626100779902643 0.2847626206265146 0.16798490856130838 0.0028829807088311854 0.00288266339733848
0.17343750000000002 0.6583701085599698 0.47392202617226575 0.30200809439277493 0.16896238077640482 0.0028829710171372463 0.002882663397338424
0.1859375 0.6909113736232905 0.48506050401380163 0.3233303518455928 0.17487696517548482 0.0028829724545263074 0.002882663397338439
0.19843750000000002 0.7101004381091058 0.5058307889090059 0.3450108136999088 0.1861276645969922 0.0028829809663424855 0.0028826633973384683
0.2109375 0.7331100708055279 0.5149006010459354 0.3662421187979501 0.2027950741740157 0.0028829931643594574 0.002882663397338399
0.2234375 0.7559314947715645 0.5234150030148764 0.3856755769350922 0.22353724300166045 0.002883004411972586 0.0028826633973383173
0.23593750000000002 0.7803612880645132 0.5392750493261654 0.40331228426488985 0.24457729223632643 0.0028830117287840964 0.002882663397338484
0.2484375 0.8039265997079421 0.5511913262779472 0.4213409016919574 0.26070033055627784 0.0028830147769186233 0.002882663397338431
0.2609375 0.8260992700694784 0.5618446530929189 0.4412737706716236 0.26897076556670313 0.0028830143340907023 0.0028826633973384704
