t pf sf rp rs energy modified
0.049479166666666664 0.39288330306583624 0.31221385013109587 0.23341351676868924 0.1566557209304322 0.002882559772590965 0.0028825002938177215
0.09947916666666666 0.5039349196817735 0.3666600714632814 0.19531524878204118 0.22827765543829548 0.0028825451849092965 0.002882500293817716
0.14947916666666666 0.602273114142461 0.5086945402185803 0.2885726667015355 0.1698009350590379 0.0028825395310776063 0.002882500293817723
0.19947916666666665 0.6963580848852173 0.6514320287164203 0.3769095538670444 0.21093707015230545 0.002882539964527265 0.0028825002938177215
0.24947916666666667 0.7923717017516972 0.7817463448712808 0.4603390865640817 0.27417151253732114 0.0028825422491149874 0.002882500293817717
0.2994791666666667 0.8879224328298557 0.9062167397264818 0.5373632110507884 0.323555235934148 0.002882541814182946 0.0028825002938177185
0.3494791666666667 0.9892802636890208 1.013458577228973 0.6132823586845101 0.3918213245236603 0.002882541081667632 0.002882500293817723
0.39947916666666666 1.1008093996071784 1.1207754968523151 0.6822346947733295 0.4520976060476052 0.002882540809194068 0.0028825002938177293
0.44947916666666665 1.1939069156758533 1.2176225821031426 0.7430935056018501 0.5187393126820901 0.002882542838465444 0.0028825002938177263
0.49947916666666664 1.280617285023127 1.3130537875769914 0.804696876339926 0.567548449703304 0.002882541876406298 0.002882500293817726
0.5494791666666666 1.376855635677325 1.4143199578300527 0.8541285428125136 0.602144529051138 0.0028825402605957033 0.0028825002938177267
0.5994791666666667 1.4711271419413685 1.5072903318484818 0.8944391253992611 0.6515341530817861 0.0028825418471350884 0.0028825002938177254
0.6494791666666666 1.5644505046527513 1.6013511123044246 0.9298705508274113 0.6893402204506153 0.0028825424028444554 0.0028825002938177263
0.6994791666666667 1.6551194342599682 1.6915908537182893 0.9762073412055644 0.7103886801427534 0.0028825409259050356 0.0028825002938177285
0.7494791666666667 1.7651619925667694 1.789308927818024 1.0163976412995213 0.7336265363149748 0.0028825407828005547 0.0028825002938177207
0.7994791666666666 1.850544879054487 1.883130088229682 1.0537165474303436 0.7593075341178019 0.002882542279234514 0.0028825002938177055
