t pf sf rp rs energy modified
0.010937500000000001 0.3199189448367063 0.2662425142924008 0.14788865595145526 0.14765618586606954 0.002882569720455814 0.0028825035974870245
0.0234375 0.3410223056889093 0.3027008241422303 0.1529453753612438 0.14779064956214139 0.0028827518162183874 0.0028825035974870137
0.035937500000000004 0.3672090312410998 0.3201842112637563 0.18510760976030088 0.1490710893773585 0.0028829243797021523 0.0028825035974870297
0.0484375 0.4175150157267186 0.3364122369585992 0.23981286936079796 0.15387812757052755 0.002883002487279484 0.002882503597487026
0.060937500000000006 0.4462159156422963 0.35192744508323004 0.20377275531237418 0.1670776079506673 0.002882984920554755 0.0028825035974869937
0.0734375 0.4617766141329714 0.3694695900876917 0.17520680713466816 0.1944620431512664 0.0028829218818906504 0.0028825035974870145
0.0859375 0.5017831026048813 0.3783588713860578 0.16769402901466554 0.22686052323510822 0.0028828701000192373 0.0028825035974869833
0.09843750000000001 0.5194672929754747 0.39115411985420273 0.1770417898483323 0.2339558859905075 0.002882860039045087 0.0028825035974869703
0.11093750000000001 0.542010078892207 0.4061110293527449 0.20430670676052634 0.21673999701707675 0.002882880601009725 0.0028825035974869785
0.1234375 0.5755127606884157 0.4258833410038011 0.243077595747298 0.19654181075569216 0.002882895210174911 0.002882503597486944
0.13593750000000002 0.5989442445915476 0.43815187367053615 0.269360543755882 0.18152383285492035 0.0028828810386566975 0.00288250359748699
0.1484375 0.6230271526499084 0.44840339058729856 0.2757488821336099 0.17228947218056176 0.0028828479010020915 0.0028825035974869425
0.1609375 0.6399310986258471 0.46273621893530104 0.2809672885861019 0.16819908456694826 0.002882819510380475 0.002882503597486933
0.17343750000000002 0.6665712716118933 0.4743996416814418 0.2961663101187556 0.16889759795219247 0.0028828083989400934 0.002882503597486936
0.1859375 0.6889147414887855 0.48567018374350074 0.31905568306350557 0.17445886456073173 0.0028828114076936786 0.0028825035974868953
0.19843750000000002 0.715636650897115 0.5066878920150633 0.34195800698921136 0.18519836777354504 0.002882820311572615 0.0028825035974869083
0.2109375 0.7477360095687694 0.517953101543587 0.36139158973653007 0.20117250560395714 0.00288283067075459 0.002882503597486915
0.2234375 0.758813664112781 0.5265965125274062 0.37945557102284533 0.22122483798465611 0.0028828409629278796 0.0028825035974868337
0.23593750000000002 0.7835963777018002 0.5407775592311502 0.3975867546395136 0.24204470185412935 0.0028828489799454437 0.0028825035974868922
0.2484375 0.8032201222199457 0.5537233886241296 0.4158764247992617 0.25887213467290987 0.0028828530038163195 0.002882503597486891
0.2609375 0.825466635624609 0.5617448794669776 0.4351623279961397 0.26862613365625826 0.0028828532943747493 0.002882503597486833
0.2734375 0.8542543179411429 0.5836027246059857 0.4556526642909774 0.27228135282287846 0.0028828509761470635 0.002882503597486905
0.2859375 0.8723976154433639 0.5918767926959264 0.47633791661797004 0.2735045931323848 0.0028828474307740918 0.002882503597486826
0.2984375 0.8974939310147148 0.6020793317458631 0.496428142862067 0.275820842966706 0.002882844182063851 0.002882503597486815
0.31093750000000003 0.9246665168577746 0.6160277186879175 0.5158025489623748 0.28121134907225975 0.0028828421959799714 0.0028825035974868883
0.32343750000000004 0.9405556310392984 0.6284017961029301 0.5346794244406428 0.2901045094244098 0.0028828416216113307 0.002882503597486799
0.3359375 0.9757477946942839 0.6453903860287483 0.5538276217618767 0.30180684762456356 0.0028828423429021767 0.002882503597486859
0.3484375 0.9980750365378765 0.6549380007391075 0.5741483268927119 0.31497485476133374 0.0028828440761452323 0.0028825035974868185
0.3609375 1.0143351460541428 0.9123683362960215 0.5952850518989428 0.32810044327477517 0.0028828459384894448 0.0028825035974868727
0.37343750000000003 1.0419594435292656 0.9758949288188862 0.6157975890581842 0.3399950756209168 0.0028828468466018504 0.0028825035974869148
0.38593750000000004 1.0587932978758166 1.0106930479699394 0.6350870648278345 0.3501645135608385 0.0028828464942918233 0.002882503597486841
0.3984375 1.0837350119863456 1.0406574619725384 0.6541720732864382 0.3589186711916794 0.0028828455433927303 0.0028825035974869508
0.4109375 1.1096400778343471 1.069430715027082 0.6741844021126504 0.3671374257202876 0.0028828447999225903 0.0028825035974868597
0.4234375 1.1330507208580984 1.097166298041212 0.6949444193145116 0.37580189763804284 0.002882844519075889 0.002882503597486843
0.43593750000000003 1.1531633889833866 1.1240343172389802 0.7154083731880305 0.3855438145192742 0.002882844508878341 0.002882503597486906
0.44843750000000004 1.1836034559116861 1.1492080942059502 0.7350226159997784 0.396438171573947 0.002882844590614308 0.0028825035974868727
0.4609375 1.2026485317443838 1.1799381165969984 0.7543396530890234 0.4081133097538721 0.002882844830554843 0.002882503597486888
0.4734375 1.2339479036683363 1.2161559660657153 0.7739955191769906 0.4200714303339297 0.002882845252613474 0.002882503597486951
0.4859375 1.2608348424008893 1.2345750722727733 0.7937668117561263 0.43198745778860165 0.0028828456408843757 0.0028825035974869113
0.49843750000000003 1.2776334813457555 1.2567116149693318 0.8132129877733454 0.4437965233479582 0.002882845829831835 0.0028825035974869165
0.5109375 1.300752902198076 1.3040270828953586 0.8324739654672463 0.4555827327223126 0.002882845915382518 0.0028825035974869196
0.5234375 1.3341677726820416 1.3233336074996644 0.851898307574059 0.4674412876160143 0.002882846013663476 0.0028825035974868857
0.5359375000000001 1.3497908238913214 1.3609015381130563 0.8712772785065492 0.4794482971473958 0.0028828459790339535 0.0028825035974869248
0.5484375 1.3759519930806599 1.3798620127366352 0.8902157128991068 0.49171939686584687 0.002882845629765542 0.0028825035974869165
0.5609375 1.4081650665287504 1.39779493847226 0.9088453483270628 0.504449435478467 0.002882845086520967 0.00288250359748694
0.5734375 1.4277437308173837 1.4213128892164535 0.9275527786701154 0.5178675745890341 0.002882844703287089 0.0028825035974869035
0.5859375 1.4477338805217599 1.4546382451841058 0.9464251976864955 0.5321333329125995 0.0028828447712606828 0.0028825035974870358
0.5984375000000001 1.48625895001553 1.4775184373459338 0.9650906895590325 0.5472415311295943 0.002882845264799438 0.002882503597486952
0.6109375 1.5030861901817152 1.4993280234822763 0.9829867854893756 0.5629905811659178 0.002882845825087382 0.002882503597486909
0.6234375000000001 1.5190407649088207 1.532641966893605 1.0000082470596308 0.5790403579550348 0.0028828460773857732 0.002882503597486984
0.6359375 1.5406177346012688 1.5532420307055632 1.016825915108877 0.5950517246579402 0.002882845960804013 0.0028825035974869516
0.6484375 1.5845891238722813 1.5845891238722813 1.033977797458327 0.6108474031407406 0.002882845620131445 0.0028825035974868823
0.6609375000000001 1.604860291984254 1.5969103628579897 1.0509598263128443 0.6264930014610376 0.002882845131952296 0.0028825035974869287
