step,time,maximum,minimum,heat,supplied,removed,balance,error
0,0,0,0,0,0,0,0,0
500,4.9999999999999378,1.0787814444732473,0.22751458239969907,16.19818979610271,16.437023213585412,0.23883341748261253,-1.1881511399747247e-13,0.82878144447325042
1000,9.9999999999998312,1.9645544644919095,0.44992252087178292,31.943590257677471,32.874046427170825,0.93045616949256704,-6.7544667775587541e-13,1.464554464491918
1500,14.999999999999725,2.7493481847066992,0.68606739724274213,47.258992387573052,49.31106964075601,2.052077253182349,-8.1635826570947145e-13,1.9993481847067129
2000,20.000000000000327,3.4669117922829069,0.9396999354143748,62.159502981784009,65.748092854341692,3.5885898725574661,-4.0589059890905332e-14,2.4669117922828905
2500,25.000000000001108,4.1335200748541938,1.2081958182603967,76.657315528692777,82.18511606792724,5.5278005392356544,1.2451151221171131e-12,2.8835200748541387
3000,30.00000000000189,4.7587674815972179,1.4873252790332145,90.763359545886857,98.62213928151229,7.8587797356277083,2.023138601092711e-12,3.2587674815971237
3500,35.000000000001606,5.3492140005573425,1.7730607938943335,104.48794066944747,115.05916249509789,10.571221825653177,2.5320370800052672e-12,3.5992140005572626
4000,40.000000000000611,5.9097642810999433,2.0620714492981178,117.8409958014629,131.49618570868276,13.65518990722347,3.0315472354658368e-12,3.9097642810999131
4500,44.999999999999616,6.4442560857666313,2.3517535760537571,130.83219739873289,147.93320892226927,17.101011523537903,2.9775071297422073e-12,4.19425608576665
5000,49.999999999998622,6.9557564665155569,2.6401269584579161,143.47099666816152,164.37023213585343,20.899235467694233,2.0864282523902489e-12,4.4557564665156253
5500,54.999999999997627,7.446741295844455,2.9257104682205122,155.76664104837027,180.80725534943866,25.040614301068928,3.4396097081668131e-13,4.696741295844574
6000,59.999999999996632,7.9192213303193508,3.2074115530036962,167.72818054142095,197.24427856302412,29.516098021600399,-2.5271729153786282e-12,4.9192213303195196
6500,64.999999999996348,8.3748383644729696,3.4844366527533066,179.36446923655129,213.6813017766093,34.316832540052083,-5.9374727356953372e-12,5.1248383644731526
7000,69.999999999998906,8.8149411681962917,3.7562210910488458,190.68416495367018,230.11832499019437,39.434160036514974,-8.9366847255689663e-12,5.3149411681963468
7500,75.000000000001464,9.2406460614866557,4.0223749593637246,201.69572841845741,246.55534820377909,44.859619785310159,-1.1068979066664042e-11,5.4906460614865829
8000,80.000000000004022,9.6528852191058245,4.2826415500332411,212.40742265541112,262.99237141736393,50.584948761939629,-1.2677220384560428e-11,5.6528852191056238
8500,85.00000000000658,10.05244504551203,4.5368654669429533,222.82731291366534,279.42939463094837,56.602081717269009,-1.3667705855979762e-11,5.8024450455117016
9000,90.000000000009138,10.439996528167333,4.7849681572757055,232.96326724136023,295.86641784453315,62.903150603159496,-1.4067191855815508e-11,5.9399965281668754
9500,95.000000000011696,10.816119151883191,5.0269291284671649,242.82295771645113,312.30344105811844,69.480483341653496,-1.3607170945562075e-11,6.0661191518826065
10000,100.00000000001425,11.181319680421936,5.262771524182047,252.41386228521608,328.74046427170197,76.326601986475168,-1.2340295452162309e-11,6.1813196804212236
10500,105.00000000001681,11.536046871745461,5.4925510468329275,261.74326713283006,345.17748748528828,83.434220352447994,-1.012268047162479e-11,6.2860468717446194
11000,110.00000000001937,11.880702988046915,5.7163474524752438,270.81826950105886,361.6145106988721,90.796241197806808,-6.59605703390298e-12,6.3807029880459467
11500,115.00000000002193,12.215652789521359,5.9342580248836327,279.64578086871285,378.05153391245761,98.405753043741854,-1.8055557049478921e-12,6.4656527895202629
12000,120.00000000002449,12.54123055899225,6.1463925733857794,288.23253041658734,394.4885571260416,106.25602670945774,4.9127368839663177e-12,6.5412305589910256
12500,125.00000000002704,12.857745589350138,6.3528696042469246,296.58506870724653,410.92558033962513,114.34051163239057,1.1953660283836598e-11,6.6077455893487862
13000,130.00000000002674,13.165486473297488,6.5538133959911438,304.70977151949904,427.36260355320979,122.65283203373005,2.0030754832589537e-11,6.6654864732961512
13500,135.0000000000222,13.464724461282826,6.7493517709256121,312.61284378678789,443.7996267667944,131.18678298003485,2.8563706955253565e-11,6.7147244612817154
14000,140.00000000001765,13.755716095280505,6.9396144027333593,320.30032359735509,460.23664998038038,139.93632638306306,3.8050784745280453e-11,6.755716095279622
14500,145.0000000000131,14.038705280241416,7.1247315366607848,327.778086221801,476.67367319396521,148.89558697221125,4.7361448096694403e-11,6.7887052802407615
15000,150.00000000000855,14.31392491910219,7.3048330270871658,335.05184814034243,493.11069640755176,158.05884826726495,5.7191917868237852e-11,6.8139249191017628
15500,155.00000000000401,14.5815982091453,7.4800476190601,342.12717104772929,509.54771962113608,167.42054857347381,6.704137245350239e-11,6.8315982091451
16000,159.99999999999946,14.841939675589261,7.6505024171966873,349.009465818595,525.98474283472046,176.97527701620282,7.7839179546401738e-11,6.8419396755892885
16500,164.99999999999491,15.095156001229713,7.8163224983248787,355.70399641990292,542.42176604830695,186.7177696284906,8.8844487322603527e-11,6.8451560012299666
17000,169.99999999999037,15.341446697693586,7.977630634249512,362.21588376036902,558.85878926189082,196.64290550162337,1.0051115495457452e-10,6.8414466976940691
17500,174.99999999998582,15.581004653576382,8.1345470987498061,368.55010946934368,575.29581247547526,206.74570300624131,1.1108103326051832e-10,6.831004653577093
18000,179.99999999998127,15.814016586751874,8.2871895388711145,374.71151959978391,591.73283568905981,217.02131608939814,1.2263279280944062e-10,6.8140165867528122
18500,184.99999999997672,16.040663421960932,8.4356728951662898,380.70482825144973,608.16985890264527,227.46503065132833,1.3275935906165159e-10,6.7906634219620976
19000,189.99999999997218,16.261120610000201,8.5801093590828028,386.53462111201969,624.60688211623051,238.07226100435349,1.4453194197017183e-10,6.7611206100015941
19500,194.99999999996763,16.475558401129817,8.7206083584203249,392.2053589146463,641.0439053298137,248.83854641532233,1.5416468102102954e-10,6.7255584011314351
20000,199.99999999996308,16.684142082454112,8.8572765638857405,397.72138081139929,657.48092854340086,259.7595477321658,1.6422285753492361e-10,6.6841420824559581
20500,204.99999999995853,16.887032186822164,8.9902179113920813,403.08690766264544,673.91795175698508,270.83104409451323,1.7402213003947509e-10,6.6370321868242375
21000,209.99999999995399,17.084384679082909,9.1195336359943955,408.30604524291243,690.35497497056986,282.04892972784239,1.8293544457037569e-10,6.5843846790852094
21500,214.99999999994944,17.276351124212031,9.2453223143158869,413.38278736409143,706.79199818415736,293.40921082025648,1.9184898114588123e-10,6.5263511242145587
22000,219.99999999994489,17.463078840809594,9.3676799130555981,418.32101891722806,723.2290213977418,304.90800248071298,2.0017965063345855e-10,6.463078840812349
22500,224.99999999994034,17.64471104268171,9.4866998417377015,423.12451883421699,739.66604461132647,316.54152577731821,2.0715362758494393e-10,6.3947110426846923
23000,229.9999999999358,17.821386970613499,9.6024730082988281,427.79696297096575,756.10306782491239,328.30610485416173,2.1352652979089726e-10,6.3213869706167092
23500,234.99999999993125,17.993242015973063,9.7150878764459687,432.34192691366712,772.54009103849876,340.19816412505281,2.2040813618673383e-10,6.2432420159765023
24000,239.9999999999267,18.160407837425129,9.8246305239754701,436.76288870985445,788.97711425208479,352.21422554245834,2.2779578223719454e-10,6.1604078374287958
24500,244.99999999992215,18.323012471755352,9.931184701441703,441.06323152600436,805.41413746567036,364.3509059398998,2.3269919324775401e-10,6.0730124717592453
25000,249.99999999991761,18.481180439590911,10.03483189071615,445.24624623345483,821.85116067925549,376.60491444603974,2.3778845559263573e-10,5.9811804395950325
25500,254.99999999991306,18.635032846637898,10.135651363094196,449.31513392439604,838.28818389284629,388.97304996868974,2.4309598778415875e-10,5.8850328466422468
26000,259.99999999990854,18.784687480927392,10.23372023669649,453.27300835969896,854.72520710642357,401.45219874697591,2.486086891906325e-10,5.7846874809319662
26500,264.99999999990399,18.930258906463937,10.32911353297991,457.12289835035261,871.16223032001051,414.03933196991204,2.5173507722797694e-10,5.6802589064687385
27000,269.99999999989944,19.071858553593014,10.421904232225737,460.86775007420022,887.59925353359836,426.7315034596528,2.5557200800108149e-10,5.5718585535980409
27500,274.9999999998949,19.20959480634524,10.51216332791248,464.51042932970796,904.03627674718632,439.52584741773472,2.578128821539849e-10,5.4595948063504949
28000,279.99999999989035,19.34357308696908,10.599959879911262,468.05372372840111,920.47329996076985,452.41957623263022,2.6001067965353286e-10,5.3435730869745619
28500,284.9999999998858,19.473895937827908,10.685361066464873,471.50034482763027,936.91032317435736,465.40997834698845,2.6038238232217736e-10,5.2238959378336176
29000,289.99999999988125,19.600663100809911,10.768432234929026,474.85293020524614,953.34734638794305,478.49441618295782,2.6156099508511943e-10,5.1006631008158489
29500,294.99999999987671,19.723971594377115,10.849236951267798,478.11404547775368,969.78436960152715,491.67032412403898,2.6283464293896941e-10,4.973971594383281
30000,299.99999999987216,19.843915788363088,10.92783704830498,481.28618626344536,986.2213928151142,504.93520655193356,2.6429658461779582e-10,4.8439157883694808
30500,304.99999999986761,19.960587476615409,11.004292672740601,484.37178009205547,1002.6584160287033,518.28663593690851,2.6181723455920292e-10,4.7105874766220293
31000,309.99999999986306,20.074075947568168,11.078662330947367,487.37318826231945,1019.0954392422849,531.72225098022864,2.6191138147169113e-10,4.5740759475750163
