step,water,bank,speed,rmin,rmax,overhang,bad,gauge_offshore,gauge_surf,shore_overhang,downward_speed,runup
0,6467.4700587151565,0,0.06791317099930412,1,1.0118499999999999,0,0,23.552384752493722,10.500009306119559,0,0,0
20,6467.4700587151365,5.3290705182007514e-15,0.069376419144577747,0.95530063340838889,1.0614738281717964,0,0,23.724841024058328,10.497545061943393,0,0.00015674337150971968,0
40,6467.4700587151492,9.1038288019262836e-15,0.069468189810997075,0.95392011305370839,1.0689990282490969,0,0,24.47066984672297,10.497425707860796,0,0.00063711413245707421,0
60,6467.4700587151574,1.1768364061026659e-14,0.067442640055680778,0.97533899224131748,1.0555765694748382,0,0,25.595601718153262,10.499180685231774,0,0.00044894720501854543,0
80,6467.4700587151337,1.4876988529977098e-14,0.068807283442565523,0.95712301119957577,1.0651668056831851,0,0,26.628288122929789,10.49862986023887,0,0.00022968737322027338,0
100,6467.4700587151638,1.7763568394002505e-14,0.068857606976781366,0.95367182692051922,1.0556279934863697,0,0,27.789591216421432,10.499425028673569,0,0.0040699199213924883,0
120,6467.4700587151638,2.042810365310288e-14,0.064390617249869567,0.95654492246205103,1.0495483010669173,0,0,28.913740219102941,10.504034457211636,0,0.0048596043374405339,0
140,6467.4700587151547,2.2648549702353193e-14,0.070592452884579632,0.96521484559819293,1.0431538453729818,0,0,30.124648731335032,10.525705029444119,0,0.018224600156474528,0
160,6467.4700587151747,2.55351295663786e-14,0.069833264396642586,0.97228893070777445,1.0435090772269877,0,0,31.435928207644078,10.564326866816707,0,0.022928102343561348,0
180,6467.470058715141,2.8199664825478976e-14,0.070486192037323328,0.97342571418330004,1.0565021991269494,0,0,32.905955652179962,10.461285956659633,0,0.012255186188879472,0
200,6467.4700587151565,3.0309088572266774e-14,0.07198875412259069,0.97367797695306857,1.0376190604384161,0,0,34.226426689362206,10.357025541217634,0,0.0021572495244901874,0
220,6467.4700587151474,3.3528735343679728e-14,0.073502935682687759,0.97536059068365533,1.029248675248194,0,0,35.792008470411304,10.59898513773099,0,3.7942978745042488e-08,0
240,6467.4700587151556,3.6415315207705135e-14,0.07527308127943208,0.96948596538391707,1.0297232345584462,0,0,36.651067208880754,10.707883943106399,0,0.010719751203550187,0
260,6467.4700587151519,3.8635761256955448e-14,0.073549847934460622,0.98107077953680022,1.0321628083963614,0,0,37.563083857804159,10.411620010271189,0,0.023048471334301893,0
280,6467.4700587151638,4.1300296516055823e-14,0.07074949086929018,0.98400938030677132,1.0398622901646872,0,0,38.161420076455904,10.392909398405816,0,0.0050889270891754657,0
300,6467.4700587151319,4.4630965589931293e-14,0.070837876674731987,0.98265129499960124,1.0422641759202473,0,0,38.55180388548694,10.615935282934284,0,0.00090174884609070874,0
320,6467.4700587151365,4.5963233219481481e-14,0.068959423325700181,0.97975513365984568,1.031726606088619,0,0,38.661374856516836,10.563074009795331,0,0.0068407246578778488,0
340,6467.4700587151492,4.8183679268731794e-14,0.069862846021792546,0.97553622596309553,1.0304949234056877,0,0,38.590473245082421,10.490377254437121,0,0.0062829629539173995,0
360,6467.4700587151528,5.1181281435219717e-14,0.068829735707378797,0.9724916559794532,1.0392978167728273,0,0,38.396064275542798,10.54618768242219,0,0.0061515438488229102,0
380,6467.4700587151538,5.3512749786932545e-14,0.068832336970318209,0.98774828739284148,1.0359286477617937,0,0,37.797626443809833,10.555353779918185,0,0.004013955941105804,0
400,6467.4700587151447,5.5511151231257827e-14,0.067079850171401223,0.97879430660326372,1.0407328986700548,0,0,37.546246919346245,10.532180849435615,0,0.0021638679779194016,0
420,6467.470058715141,5.7287508070658077e-14,0.064536300452254128,0.98001477624518984,1.0270861463579359,0,0,37.096597918735725,10.532284760140495,0,0.00085050499013494124,0
440,6467.4700587151601,5.9729998724833422e-14,0.068076573576188334,0.97070482314433681,1.0266359305802673,0,0,36.37767396518359,10.558212010109729,0,1.162628296760837e-08,0
