step,time,maximum,energy,modified,signal,error
0,0,0,1.2016591899980555,1.2016591899980555,0,0
12,0.029999999999999995,0.84730535482248026,1.2016189596150173,1.2014746475326001,-1.9465161538458987e-77,1.8418685927196035
24,0.060000000000000019,1.4358430945386145,1.2015479470663115,1.2014746475326012,-6.2751348734382256e-68,2.4285426423448921
36,0.090000000000000038,1.6088279900339391,1.2015187697442042,1.2014746475325975,-3.4626477416428006e-61,2.5982939145923432
48,0.12000000000000006,1.5769797810638309,1.2015344449250083,1.2014746475326041,-5.0481469330084352e-56,2.5562879275864621
60,0.15000000000000008,1.4905429074116341,1.2015569174540046,1.2014746475326006,-8.4094323958536399e-52,2.4604763955242115
72,0.1800000000000001,1.4192827892845115,1.2015676439005665,1.2014746475325944,-3.2836459477246383e-48,2.3731291308871505
84,0.21000000000000013,1.3561572455911979,1.2015700479797833,1.2014746475325953,-4.496648414213265e-45,2.2966532715497059
96,0.24000000000000016,1.2985983494423947,1.2015696274179437,1.2014746475325957,-2.7728946252369824e-42,2.2175421114156091
108,0.27000000000000018,1.2511379130761167,1.2015686472000968,1.2014746475325959,-9.0963485065715693e-40,2.1530336574860773
120,0.30000000000000021,1.196615996008688,1.2015678898886277,1.201474647532593,-1.7847043283829711e-37,2.071941756353509
132,0.33000000000000024,1.1614385542602126,1.2015674832599612,1.2014746475326017,-2.281783272472835e-35,2.0163737607785928
144,0.36000000000000026,1.1072262319934489,1.2015672905292936,1.2014746475325979,-2.0283517808945916e-33,1.9400477881629077
156,0.39000000000000029,1.0823557880212746,1.2015671874496356,1.2014746475325915,-1.3182932002567028e-31,1.882946493381098
168,0.42000000000000032,1.039606964996149,1.2015671197787579,1.2014746475325968,-6.5191285234275207e-30,1.8157535017316473
180,0.45000000000000034,1.0116248548271494,1.2015670708063191,1.2014746475325919,-2.5330482435349126e-28,1.7516168205113187
192,0.48000000000000037,0.97908879784795178,1.2015670347119667,1.2014746475326008,-7.9399705046659966e-27,1.6924222559482183
204,0.51000000000000012,0.94781077116152912,1.2015670087149235,1.2014746475325935,-2.0521936353625022e-25,1.622209426690588
216,0.53999999999999948,0.92404207267697236,1.2015669916087415,1.2014746475325915,-4.4547376758385629e-24,1.5701226410654328
228,0.56999999999999884,0.88996059373769332,1.2015669832738027,1.2014746475325941,-8.2489680954746576e-23,1.5026958404726363
240,0.5999999999999982,0.87381905247728797,1.201566984357725,1.2014746475325933,-1.3205159917564821e-21,1.4496051765659383
252,0.62999999999999756,0.84423440823679807,1.2015669953797223,1.2014746475325935,-1.8486309538113544e-20,1.3903024097147352
264,0.65999999999999692,0.82913185033743564,1.2015670146661357,1.2014746475325935,-2.2859031407759132e-19,1.3330433796041881
276,0.68999999999999628,0.80877248024754367,1.201567035483692,1.2014746475325946,-2.5185888850575991e-18,1.2827657352871913
288,0.71999999999999564,0.7942673178129247,1.2015670440347428,1.2014746475325933,-2.4916035855680945e-17,1.2262182689654422
300,0.749999999999995,0.78593570420070813,1.2015670211397027,1.2014746475325935,-2.2282445835360644e-16,1.1883905431926469
312,0.77999999999999436,0.77790039318078075,1.2015669498568229,1.2014746475325893,-1.8122397191337855e-15,1.1433635995019449
324,0.80999999999999373,0.78623054364656497,1.2015668277475711,1.2014746475325939,-1.3475877253224988e-14,1.1191707150034702
336,0.83999999999999309,0.79087794996410321,1.2015666773060611,1.2014746475325992,-9.205730779700821e-14,1.0958986848924077
348,0.86999999999999245,0.80894914450550059,1.2015665456144458,1.2014746475325944,-5.8019473321567727e-13,1.0758436482682097
360,0.89999999999999181,0.83274395859016048,1.2015664887527742,1.2014746475325906,-3.3866307045615675e-12,1.0735844852090866
372,0.92999999999999117,0.8544015128803446,1.2015665466542844,1.2014746475325973,-1.8371166594609931e-11,1.0700589037540473
384,0.95999999999999053,0.87106712917364393,1.2015667221261794,1.2014746475325964,-9.2902520341034732e-11,1.0625023225936174
396,0.98999999999998989,0.87341666542324825,1.2015669760425194,1.2014746475325948,-4.3919126777143065e-10,1.0416770490495475
408,1.0199999999999894,0.84717703292086899,1.2015672404328455,1.201474647532595,-1.9458475200391508e-09,1.0014409652979626
420,1.0499999999999887,0.84925974152226136,1.2015674416288389,1.2014746475326024,-8.0979943858901771e-09,0.98202902599553799
432,1.0799999999999881,0.81926264659337977,1.2015675236835373,1.2014746475325968,-3.1720866672362512e-08,0.93178700750703036
444,1.1099999999999874,0.76642088931787788,1.2015674654291368,1.201474647532587,-1.1716706638047851e-07,0.86002354818483673
456,1.1399999999999868,0.71308428329063978,1.2015672867034355,1.201474647532597,-4.0875995810838747e-07,0.78915443898195492
468,1.1699999999999862,0.73079934629630494,1.2015670404039822,1.2014746475325948,-1.3488494049168367e-06,0.73813466766813485
480,1.1999999999999855,0.74570322067932981,1.2015667919391748,1.201474647532591,-4.2154694612672912e-06,0.69191392023525511
492,1.2299999999999849,0.84113023032965273,1.2015665961845385,1.2014746475326017,-1.2491051773986617e-05,0.79191924405818603
504,1.2599999999999842,0.84723840781231508,1.2015664857784549,1.2014746475325826,-3.5126604474551619e-05,0.814218045182449
516,1.2899999999999836,0.79363682937347046,1.2015664757915994,1.2014746475325957,-9.3821483809220112e-05,0.77410898795068872
528,1.319999999999983,0.79649525885258832,1.2015665726142446,1.2014746475325953,-0.00023816253350714513,0.79084227331477674
540,1.3499999999999823,0.75278794796185633,1.2015667665772443,1.2014746475325828,-0.0005748510954753051,0.75940233973645821
552,1.3799999999999817,0.70607496451751672,1.2015670056670213,1.2014746475325941,-0.0013197159580836644,0.72331183258767806
564,1.409999999999981,0.67268655592065907,1.20156718501167,1.2014746475325873,-0.0028820585912691541,0.69886966341147505
576,1.4399999999999804,0.64990888431248373,1.2015671988510439,1.2014746475325933,-0.0059867423478971388,0.6833368566396586
588,1.4699999999999798,0.62844879986469826,1.2015670419302675,1.2014746475325762,-0.011825384084225151,0.66740141220122606
600,1.4999999999999791,0.63099897860887577,1.201566852776023,1.2014746475325941,-0.022199143902415109,0.66905921235322774
612,1.5299999999999785,0.62177590199476074,1.2015668007171052,1.2014746475325833,-0.039571145190998573,0.66103304038935129
624,1.5599999999999778,0.6270181803831707,1.2015669001335167,1.2014746475326028,-0.066896192870645313,0.65931905859630546
636,1.5899999999999772,0.61965612929645286,1.2015669891668193,1.2014746475325995,-0.1070656419482825,0.64458128401018921
648,1.6199999999999766,0.62448678433324556,1.2015669460511562,1.2014746475325886,-0.16183962075073541,0.64074476393666002
660,1.6499999999999759,0.61917978373789329,1.2015668607252303,1.201474647532589,-0.23028504604921854,0.62093908830745104
672,1.6799999999999753,0.61886573412286827,1.2015668853931973,1.2014746475325873,-0.30701646526138954,0.63319568000540805
684,1.7099999999999747,0.61384937629963365,1.2015669777671889,1.201474647532589,-0.38089750762490238,0.65317307179637085
696,1.739999999999974,0.61075036417019557,1.2015669721973261,1.2014746475325828,-0.43515047840163285,0.6700434259644813
708,1.7699999999999734,0.6051290517908321,1.2015668786672782,1.201474647532581,-0.44980093673881305,0.69312073415059428
720,1.7999999999999727,0.60126162924722359,1.2015668702649676,1.2014746475326019,-0.40682467061918309,0.71387465832303409
732,1.8299999999999721,0.59429535427721103,1.201566957355118,1.2014746475325966,-0.29722007145453438,0.73978883001317086
744,1.8599999999999715,0.59110057326095411,1.2015669641380862,1.2014746475325828,-0.12780414038836513,0.76361994675305467
756,1.8899999999999708,0.58212732129782507,1.2015668757589966,1.2014746475325808,0.075487008843892589,0.79199811543153953
768,1.9199999999999702,0.58053752960169602,1.2015668719430224,1.2014746475325888,0.27077944492151995,0.81804778963869862
780,1.9499999999999695,0.56901098067823486,1.2015669595284146,1.2014746475325828,0.41091721907299616,0.84840699147733689
792,1.9799999999999689,0.56965383508955036,1.2015669555298745,1.2014746475325999,0.45918718818087562,0.87578497747130568
804,2.0099999999999683,0.55620828050393811,1.2015668724910848,1.2014746475325644,0.40432754705087381,0.90758677376864616
816,2.0399999999999676,0.5584015602354413,1.2015668921062794,1.2014746475325782,0.26769521900601001,0.9353878469843866
828,2.069999999999967,0.54825210512754563,1.2015669711873076,1.2014746475325984,0.097672824874736788,0.96803483050790451
840,2.0999999999999663,0.54672495003681876,1.2015669355504994,1.2014746475325777,-0.048086250469245619,0.99535813514408844
852,2.1299999999999657,0.54000727089422029,1.2015668646843336,1.2014746475325959,-0.12556630241483649,1.0282377187082523
