step,time,maximum,energy,modified,signal,error
0,0,0,1.2016591899980555,1.2016591899980555,0,0
12,0.029999999999999995,0.84730535482248026,1.2016189596150173,1.2014746475326001,-4.3963785432796328e-76,1.8418685927196035
24,0.060000000000000019,1.4358430945386145,1.2015479470663115,1.2014746475326012,-8.8418654244328212e-66,2.4285426423448921
36,0.090000000000000038,1.6088279900339391,1.2015187697442042,1.2014746475325975,-5.2930730058181191e-59,2.5982939145923432
48,0.12000000000000006,1.5769797810638309,1.2015344449250083,1.2014746475326041,-7.6565444163871944e-54,2.5562879275864621
60,0.15000000000000008,1.4905429074116341,1.2015569174540046,1.2014746475326006,-1.2516502634195274e-49,2.460476395524211
72,0.1800000000000001,1.4192827892845028,1.2015676439005663,1.2014746475325948,-4.7767943094543922e-46,2.3731291308871327
84,0.21000000000000013,1.3561572455910589,1.2015700479797793,1.2014746475325961,-6.3749531773054389e-43,2.2966532715495669
96,0.24000000000000016,1.2985983494403912,1.2015696274179315,1.2014746475325941,-3.8212637695065765e-40,2.2175421114136054
108,0.27000000000000018,1.2511379130637679,1.201568647200048,1.201474647532597,-1.2155225100132647e-37,2.1530336574737285
120,0.30000000000000021,1.1966159958710103,1.2015678898883542,1.2014746475325953,-2.3070554893692261e-35,2.0719417562158311
132,0.33000000000000024,1.1614385535533764,1.2015674832586463,1.2014746475325986,-2.8468403506220091e-33,2.0163737600717568
144,0.36000000000000026,1.1072262258107497,1.2015672905235573,1.2014746475325975,-2.436980982482041e-31,1.9400477847948348
156,0.39000000000000029,1.0823557613466364,1.2015671874269276,1.2014746475325877,-1.5218870118796818e-29,1.8829464667064597
168,0.42000000000000032,1.0396068578568085,1.2015671196969839,1.2014746475325992,-7.2156925901094091e-28,1.8157533945923068
180,0.45000000000000034,1.0116241813619069,1.2015670705381745,1.2014746475325933,-2.6823727982752939e-26,1.7516161470460765
192,0.48000000000000037,0.97908650428368982,1.2015670339115596,1.201474647532599,-8.0271463492180794e-25,1.6924199623839562
204,0.51000000000000012,0.94779927501328909,1.2015670065417596,1.201474647532595,-1.9765824158140229e-23,1.622197930542348
216,0.53999999999999948,0.92400871494369752,1.201566986250961,1.2014746475325986,-4.0791255536676142e-22,1.570089283332158
228,0.56999999999999884,0.88982703133509045,1.2015669713144821,1.2014746475325917,-7.166242933492154e-21,1.5026053131032544
240,0.5999999999999982,0.87348738224523448,1.2015669603029915,1.2014746475325975,-1.0861354455918788e-19,1.4492735063338849
252,0.62999999999999756,0.84346298624526705,1.2015669521091279,1.2014746475325964,-1.4366188077271892e-18,1.3895309877232043
264,0.65999999999999692,0.82686982108883567,1.2015669459171765,1.2014746475325917,-1.6749512352672682e-17,1.3307813503555881
276,0.68999999999999628,0.80423603531771604,1.2015669411509049,1.2014746475325888,-1.7364182572976898e-16,1.2782292903573635
288,0.71999999999999564,0.78365823674325885,1.2015669374162439,1.2014746475325988,-1.6129627262485051e-15,1.2156091878957762
300,0.749999999999995,0.76738448412009241,1.2015669344448232,1.2014746475325904,-1.3515938501280591e-14,1.1698393231120312
312,0.77999999999999436,0.74346131990110476,1.2015669320505136,1.201474647532595,-1.0278237624454006e-13,1.1126629123574945
324,0.80999999999999373,0.73264466770504721,1.2015669301014369,1.2014746475325926,-7.1310151680224556e-13,1.0655848390619524
336,0.83999999999999309,0.71096059533686184,1.2015669285007238,1.2014746475325939,-4.5352704373190988e-12,1.0159813302651663
348,0.86999999999999245,0.69981590573487595,1.2015669271755334,1.2014746475325955,-2.6553010820330446e-11,0.96671040949758491
360,0.89999999999999181,0.68360721570705529,1.2015669260703454,1.2014746475325935,-1.4365799066313001e-10,0.92444774232598126
372,0.92999999999999117,0.6687394699822804,1.2015669251423446,1.2014746475325944,-7.2065415375583194e-10,0.87443034284116372
384,0.95999999999999053,0.6572888797198807,1.2015669243581475,1.2014746475325979,-3.3622351814605071e-09,0.83933298450566896
