step,time,maximum,energy,modified,signal,error
0,0,0,1.2016591899980555,1.2016591899980555,0,0
12,0.029999999999999995,0.84351371432600597,1.2016185762878799,1.2014746475325977,-2.1604410666944357e-79,1.683174275405031
24,0.060000000000000019,1.4122481791039359,1.2015479095530017,1.2014746475326035,-6.2863382772024787e-71,2.1420897655764799
36,0.090000000000000038,1.6195384310504797,1.201519529308305,1.2014746475325977,-1.0235784360953165e-64,2.3007410369839327
48,0.12000000000000006,1.5851247863159541,1.201534560211988,1.2014746475325986,-6.8938493263364319e-60,2.2265546304927506
60,0.15000000000000008,1.5011330437730632,1.201556386283436,1.2014746475326006,-6.4119637906343155e-56,2.1141330660372573
72,0.1800000000000001,1.4304459697890253,1.2015675100374055,1.2014746475325964,-1.5500818128021422e-52,2.0355506982605096
84,0.21000000000000013,1.3715501926100311,1.2015702267053532,1.2014746475325966,-1.399920459718486e-49,1.9723299096457665
96,0.24000000000000016,1.3200641815421292,1.2015696999368852,1.2014746475325979,-5.9332773648427274e-47,1.9168352998035298
108,0.27000000000000018,1.2737352469671759,1.2015686227166102,1.2014746475325979,-1.3763305327341505e-44,1.8652399999561768
120,0.30000000000000021,1.231394759373226,1.201567869856204,1.2014746475325961,-1.9494660056438364e-42,1.8157964812817904
132,0.33000000000000024,1.1940517704954536,1.2015674824328637,1.2014746475325992,-1.8287911945888221e-40,1.7676220550078363
144,0.36000000000000026,1.160877958471249,1.2015672942794815,1.2014746475325995,-1.2094619643701154e-38,1.7202255850331531
156,0.39000000000000029,1.1297696272225661,1.2015671894962552,1.2014746475325997,-5.9243573307680489e-37,1.6733216879637536
168,0.42000000000000032,1.1005088508258105,1.2015671203979961,1.2014746475325961,-2.2368928417946153e-35,1.6267397321013659
180,0.45000000000000034,1.0729140117788882,1.201567070494892,1.2014746475325968,-6.7275877109751976e-34,1.5805928073569597
192,0.48000000000000037,1.0468299498632625,1.201567033463963,1.2014746475325999,-1.6563396331043557e-32,1.535661503073102
204,0.51000000000000012,1.0221220711943053,1.2015670060518022,1.2014746475325937,-3.4155976751112685e-31,1.4907568063554941
216,0.53999999999999948,0.99867247800876746,1.2015669859215508,1.2014746475325937,-6.0144009058976319e-30,1.4458750030785041
228,0.56999999999999884,0.97637719104038811,1.2015669711715071,1.2014746475325977,-9.1918103502108265e-29,1.4010271438993445
240,0.5999999999999982,0.95514401976724927,1.2015669603011565,1.2014746475325968,-1.2361652494480786e-27,1.3562368368104565
252,0.62999999999999756,0.93489085934697702,1.2015669521969725,1.2014746475325984,-1.4801124268543717e-26,1.3115384581377838
264,0.65999999999999692,0.91554429482338862,1.2015669460775809,1.2014746475325961,-1.5936043764801565e-25,1.2669756362201521
276,0.68999999999999628,0.89703844046179204,1.2015669414129588,1.2014746475325973,-1.5561111492830019e-24,1.2225999309844351
288,0.71999999999999564,0.87931396559112329,1.2015669378495948,1.2014746475325977,-1.3882670950584246e-23,1.1784696638675225
300,0.749999999999995,0.86231727142671566,1.201566935153261,1.2014746475325966,-1.1388221249392397e-22,1.1346488677710218
312,0.77999999999999436,0.84599979160386896,1.2015669331640577,1.2014746475325961,-8.6381049151203454e-22,1.0912063351345278
324,0.80999999999999373,0.83031739490599554,1.2015669317589086,1.2014746475325953,-6.0883264769112728e-21,1.0482147475101633
336,0.83999999999999309,0.81522987294486216,1.2015669308166352,1.2014746475325884,-4.0048387120895871e-20,1.0057498737324677
348,0.86999999999999245,0.80070049884015249,1.2015669301853253,1.2014746475325955,-2.4680912812790844e-19,0.9638898265516207
360,0.89999999999999181,0.78669564552771221,1.2015669296576272,1.2014746475325913,-1.429976877223697e-18,0.9227143697438881
372,0.92999999999999117,0.77318445437607464,1.2015669289626949,1.2014746475326012,-7.8133460293588473e-18,0.88230426940289863
384,0.95999999999999053,0.76013854643172052,1.201566927786321,1.2014746475325977,-4.0373916507797101e-17,0.84274068445858052
396,0.98999999999998989,0.74753176993497039,1.2015669258263628,1.2014746475326015,-1.9779724994213992e-16,0.80410459254448352
408,1.0199999999999894,0.73533997881841606,1.2015669228799444,1.2014746475325877,-9.2086022807978288e-16,0.76647624819561966
420,1.0499999999999887,0.72354083777065792,1.2015669189432583,1.2014746475325875,-4.0825441642618584e-15,0.73028551372937689
432,1.0799999999999881,0.71211365016016459,1.2015669142904539,1.2014746475325899,-1.7268826992031661e-14,0.69548933954456738
444,1.1099999999999874,0.70103920569896772,1.2015669094929156,1.201474647532591,-6.9815348843390509e-14,0.66195689997030438
456,1.1399999999999868,0.69029964520838649,1.2015669053523506,1.2014746475325859,-2.7020557010679525e-13,0.62976024413118226
468,1.1699999999999862,0.67987834024869309,1.2015669027485971,1.2014746475325868,-1.0026202098400961e-12,0.59896816119699248
480,1.1999999999999855,0.6700749564945061,1.2015669024381828,1.2014746475325857,-3.5716644455336636e-12,0.56964582146519338
492,1.2299999999999849,0.6609432050226749,1.2015669048644013,1.2014746475325908,-1.2230514193463904e-11,0.54185444027936924
504,1.2599999999999842,0.6520667436982126,1.2015669100397364,1.2014746475325921,-4.0305577011305582e-11,0.51565096494207208
516,1.2899999999999836,0.6434337363539433,1.2015669175342927,1.201474647532585,-1.2796777666878212e-10,0.49108778482760956
528,1.319999999999983,0.63503308741434972,1.2015669265608935,1.201474647532591,-3.9181865871493927e-10,0.46821246492866397
540,1.3499999999999823,0.62685438362541934,1.2015669361108727,1.2014746475325973,-1.1580317501132459e-09,0.46298032781451498
552,1.3799999999999817,0.61888784130318464,1.2015669450850659,1.2014746475325944,-3.306577686120756e-09,0.46974723127352036
564,1.409999999999981,0.61112425849091012,1.2015669523814074,1.2014746475325977,-9.1285986912905009e-09,0.47503576101038664
576,1.4399999999999804,0.60355497149179671,1.2015669569358414,1.2014746475325939,-2.4384546897433195e-08,0.47880641002888014
588,1.4699999999999798,0.59617181531012509,1.20156695774435,1.2014746475325906,-6.3067241519300434e-08,0.48102622397576478
600,1.4999999999999791,0.5889670875906432,1.201566953917705,1.2014746475325822,-1.5803070268390573e-07,0.48166886893457395
612,1.5299999999999785,0.58193351569511731,1.2015669448335842,1.201474647532593,-3.8386195993958544e-07,0.48075183655109666
624,1.5599999999999778,0.57506422659751044,1.2015669304492715,1.2014746475325944,-9.0433747139877194e-07,0.47862536695143226
636,1.5899999999999772,0.5683527193161404,1.2015669117835124,1.2014746475325975,-2.0673439626452563e-06,0.47487303037786127
648,1.6199999999999766,0.5617928396333054,1.2015668914196991,1.2014746475325975,-4.5878177129742372e-06,0.46984406879985852
660,1.6499999999999759,0.55537875688085592,1.2015668736493099,1.2014746475325899,-9.8872385625982076e-06,0.46381675230420533
672,1.6799999999999753,0.54910494259470011,1.2015668637325232,1.2014746475325901,-2.0699672882599425e-05,0.45617298199184908
684,1.7099999999999747,0.54296615086264099,1.2015668659994669,1.2014746475325917,-4.2111000352748698e-05,0.4860106644404138
696,1.739999999999974,0.53695740020880989,1.2015668812996418,1.201474647532589,-8.3267355169644415e-05,0.51638096450766413
708,1.7699999999999734,0.53107395687449332,1.2015669052827127,1.2014746475325955,-0.0001600603059551838,0.54820496959811349
720,1.7999999999999727,0.52531131936976416,1.2015669292637092,1.2014746475325988,-0.0002991457806978086,0.57819073809280042
732,1.8299999999999721,0.51966520418322182,1.2015669441825305,1.2014746475325924,-0.00054363854303628948,0.60749711116087812
744,1.8599999999999715,0.5141315325485506,1.2015669457458247,1.2014746475325955,-0.00096068053338909136,0.6369139115270841
756,1.8899999999999708,0.50870641817671081,1.2015669371116686,1.2014746475325844,-0.0016507295383968357,0.66412398866984135
768,1.9199999999999702,0.50338615587157165,1.2015669265502933,1.2014746475325861,-0.0027577743863200694,0.69238640109941518
780,1.9499999999999695,0.49816721095476685,1.2015669213651616,1.201474647532577,-0.0044787069798453011,0.7187395543526659
792,1.9799999999999689,0.49304620943267902,1.2015669228778143,1.2014746475325937,-0.007068805596417543,0.74473334334683106
804,2.0099999999999683,0.48801992884480067,1.2015669267202749,1.2014746475325908,-0.010838886697061668,0.76982233948997936
816,2.0399999999999676,0.48308528973840631,1.2015669278510126,1.2014746475325899,-0.016138538143395244,0.79326732162123215
828,2.069999999999967,0.47823934771953502,1.2015669251934775,1.2014746475325924,-0.023319539168985364,0.81729469530707421
840,2.0999999999999663,0.47347928603485534,1.2015669215158864,1.201474647532583,-0.032674833717255304,0.83888588213626603
852,2.1299999999999657,0.46880240864305145,1.2015669195306562,1.2014746475325984,-0.044351962993033421,0.86058347937143231
864,2.1599999999999651,0.46420613373806946,1.201566919104007,1.2014746475325842,-0.058246077550586535,0.88094887215692608
876,2.1899999999999644,0.45968798768984925,1.2015669184264941,1.2014746475325921,-0.07388625614080542,0.89946711180957306
888,2.2199999999999638,0.45524559937116216,1.2015669168362149,1.201474647532593,-0.090338550258662595,0.91849011119885771
900,2.2499999999999631,0.45087669484186643,1.2015669153700854,1.2014746475325988,-0.10615745926249992,0.93499867245304835
912,2.2799999999999625,0.44657909236432053,1.2015669147443286,1.2014746475325853,-0.11942096289796671,0.95130465726555347
924,2.3099999999999619,0.44235069772589802,1.2015669139308227,1.2014746475325855,-0.12787909873957856,0.96634380388009633
936,2.3399999999999612,0.43818949984654221,1.2015669110650649,1.201474647532587,-0.12922967345864375,0.97921996130475153
948,2.3699999999999606,0.43409356665110982,1.2015669046697239,1.2014746475325937,-0.12150685948904467,0.99269426343552447
960,2.3999999999999599,0.43006104118788308,1.2015668928184497,1.201474647532585,-0.10353281211762766,1.0036129545569916
