step,time,maximum,energy,modified,signal,error
0,0,0,1.2016591899980555,1.2016591899980555,0,0
12,0.029999999999999995,0.84351371432600597,1.2016185762878799,1.2014746475325977,-3.3041240666541928e-78,1.683174275405031
24,0.060000000000000019,1.4122481791039359,1.2015479095530017,1.2014746475326035,-7.3072744500952053e-69,2.1420897655764799
36,0.090000000000000038,1.6195384310504797,1.201519529308305,1.2014746475325977,-1.3137349771380069e-62,2.3007410369839327
48,0.12000000000000006,1.5851247863159541,1.201534560211988,1.2014746475325986,-8.1697741186454994e-58,2.2265546304927506
60,0.15000000000000008,1.5011330437730632,1.201556386283436,1.2014746475326006,-6.8297707430176007e-54,2.1141330660372573
72,0.1800000000000001,1.4304459697890253,1.201567510037405,1.2014746475325961,-1.4724191740553347e-50,2.03555069826051
84,0.21000000000000013,1.3715501926100311,1.201570226705353,1.2014746475325961,-1.1827022513324181e-47,1.9723299096457656
96,0.24000000000000016,1.3200641815421292,1.2015696999368846,1.2014746475325968,-4.4575448534404729e-45,1.9168352998035281
108,0.27000000000000018,1.2737352469671759,1.2015686227166111,1.2014746475325975,-9.2095588012742876e-43,1.8652399999561704
120,0.30000000000000021,1.231394759373226,1.2015678698562007,1.2014746475325961,-1.1652560293785602e-40,1.8157964812817649
132,0.33000000000000024,1.1940517704954536,1.2015674824328584,1.201474647532599,-9.8041683826888918e-39,1.7676220550077562
144,0.36000000000000026,1.160877958471249,1.2015672942794653,1.2014746475325997,-5.843908583898107e-37,1.7202255850329131
156,0.39000000000000029,1.1297696272225379,1.201567189496205,1.2014746475325988,-2.594158284471586e-35,1.6733216879630883
168,0.42000000000000032,1.1005088508257457,1.2015671203978431,1.2014746475325961,-8.9278365687945072e-34,1.626739732099648
180,0.45000000000000034,1.0729140117788112,1.2015670704944714,1.2014746475325981,-2.4614284680417291e-32,1.5805928073549627
192,0.48000000000000037,1.0468299498632625,1.2015670334628512,1.2014746475325997,-5.5850714138499627e-31,1.5356615030685856
204,0.51000000000000012,1.0221220711943053,1.2015670060490284,1.201474647532597,-1.0664950078350938e-29,1.4907568063458514
