radius generated exact
1 0 2.0315518300196836e-17
1.03125 0.10351069254491677 0.098891136174131811
1.0625 0.19105313222514081 0.19112822158147635
1.09375 0.2850943749680786 0.27645780570744627
1.125 0.35458862919398115 0.35465207569114943
1.15625 0.43424599153396309 0.42551485104675746
1.1875 0.48893422633895706 0.48888647595566842
1.21875 0.54815252846511386 0.54464773145903822
1.25 0.59293471092911676 0.59272286387783313
1.28125 0.63406589465980168 0.63308180704596184
1.3125 0.66610975683599327 0.66574166256126044
1.34375 0.6912905367752592 0.69076749285300421
1.375 0.70876413026269836 0.70827247541146476
1.40625 0.71896456123552044 0.71841746226360836
1.4375 0.72198729567194875 0.7214099861365717
1.46875 0.7181091205277762 0.7175027532916165
1.5 0.70761680868612942 0.70699166240161626
1.53125 0.69084852963308219 0.69021338882586392
1.5625 0.66817950193701126 0.66754257400489181
1.59375 0.64001495537180275 0.63938866029591868
1.625 0.60680792745294265 0.60619241227065712
1.65625 0.5689756563622641 0.56842216620161568
1.6875 0.52713450109718829 0.52656985009143731
1.71875 0.48139090342172725 0.48114681708951285
1.75 0.43316802127603232 0.43267953544197696
1.78125 0.38087938490645035 0.38170517819738947
1.8125 0.32915751064027277 0.32876715571267034
1.84375 0.27180090052908623 0.27441063355207129
1.875 0.21945013792852802 0.21917807763322555
1.90625 0.16130015421466057 0.16360486744189076
1.9375 0.1083535480669702 0.10821501680982648
1.96875 0.052322623969708465 0.053517040132166224
2 0 2.4668688801184879e-16
