radius generated exact
1 0 -2.032874689577084e-17
1.03125 -0.1029166154388176 -0.098955529847331303
1.0625 -0.19061003988838329 -0.19125267609495311
1.09375 -0.28083106468798252 -0.27663782319215613
1.125 -0.35375381929615446 -0.35488300993606864
1.15625 -0.42575722305244906 -0.42579192809653049
1.1875 -0.48773019856458988 -0.48920481789390746
1.21875 -0.54511099785876016 -0.54500238273907464
1.25 -0.59140851303768494 -0.59310881962544637
1.28125 -0.63251449867217968 -0.63349404280913146
1.3125 -0.66436273527758472 -0.66617516502379426
1.34375 -0.68865162553366566 -0.69121729106457774
1.375 -0.70689644280003439 -0.70873367211808891
1.40625 -0.71878525917080083 -0.71888526495124616
1.4375 -0.7200950112608473 -0.72187973742761069
1.46875 -0.71635208124187455 -0.71796996035994087
1.5 -0.70579252435630435 -0.70745202509765504
1.53125 -0.68454186579061616 -0.69066282622862263
1.5625 -0.66647686082539559 -0.66797724914383971
1.59375 -0.63334918023191367 -0.63980500281185515
1.625 -0.60524858398438741 -0.60658713881139614
1.65625 -0.56530940215982872 -0.56879229837549694
1.6875 -0.52574486025536926 -0.52691272982925108
1.71875 -0.47892499728726945 -0.48146011929332289
1.75 -0.43198892744872269 -0.43296127782742488
1.78125 -0.38023944330956877 -0.38195372826420348
1.8125 -0.32823301667327176 -0.32898123480613345
1.84375 -0.27343041373198307 -0.27458931800593683
1.875 -0.21881877151779452 -0.21932079701182339
1.90625 -0.16177004492268163 -0.16371139992574604
1.9375 -0.10803773951370493 -0.1082854817948324
1.96875 -0.052335974939985465 -0.053551888137014766
2 0 -2.468475199497938e-16
