radius generated exact
1 0 -1.0476255390435269e-17
1.03125 0.085842032152709788 0.08268092360436953
1.0625 0.16218878080085597 0.16215523381379016
1.09375 0.24321078305888391 0.23786961172616999
1.125 0.30940673291271054 0.30930315332473624
1.15625 0.38230960427900235 0.37597216522223786
1.1875 0.43765386324182876 0.43743452042818876
1.21875 0.49629468482827616 0.4932935531604305
1.25 0.54356255954440436 0.54320147285650011
1.28125 0.58791243597090626 0.5868622795177052
1.3125 0.62452782455995426 0.62403416516162646
1.34375 0.65516971898442944 0.65453138932344967
1.375 0.67882469255036637 0.67822562011434118
1.40625 0.69569491345510059 0.69504673621531254
1.4375 0.7056546876194022 0.70498308927031228
1.46875 0.7087767906479614 0.70808123036540727
1.5 0.70515478942599463 0.70444510857250375
1.53125 0.6949502748592542 0.69423475383301181
1.5625 0.67837796158493691 0.67766446070140052
1.59375 0.65569914997859891 0.65500049360745993
1.625 0.62724287674363677 0.62655833828027363
1.65625 0.5933156474427711 0.59269952776121504
1.6875 0.55445347317869653 0.55382807497645392
1.71875 0.51068702415019485 0.51038654710390141
1.75 0.46339124553636646 0.46285181992156671
1.78125 0.41103381730398003 0.41173055293406691
1.8125 0.35798422099329835 0.3575544283156889
1.84375 0.29870793139706669 0.30087519856013328
1.875 0.24255872950519813 0.24225958917116464
1.90625 0.18055382745638821 0.18228410375137777
1.9375 0.12168268654341552 0.12152977943891566
1.96875 0.059475000394944744 0.06057694079921682
2 0 -9.4798741233898781e-17
