step,water,bank,speed,rmin,rmax,overhang,bad,span_velocity,span_difference
0,44390.836213091621,0,0.099294091006537438,1,1.02433,0,0,0,0
20,44390.836213092356,6.8833827526759706e-15,0.10083826497924742,0.94122267927621506,1.0953873780977588,0,0,0.018802538595741686,0.98140949426562096
40,44390.836213092101,9.7699626167013776e-15,0.1051029054332394,0.93093283039679664,1.1168914615318157,0,0,0.015378278326269729,0.7971400926261345
60,44390.836213091898,1.2878587085651816e-14,0.10545624432375704,0.93056200214046314,1.0790807683072834,0,0,0.0094472642871734278,0.7794166504501121
80,44390.836213091839,1.6209256159527285e-14,0.10974169519498728,0.94096961849717209,1.0843002940526634,0,0,0.008244938479789167,0.76204003499938944
100,44390.836213091941,1.9317880628477724e-14,0.10676534827087877,0.94242448360479081,1.1401592261046427,0,0,0.0067523752167658393,0.81733996325967451
120,44390.836213092116,2.1316282072803006e-14,0.093657081617113822,0.94872978505408234,1.072991866704611,0,0,0.0045306115073453224,0.79506733591044099
140,44390.836213092611,2.4202861936828413e-14,0.097293954656175186,0.95006176926155861,1.0303842370690515,0,0,0.0036035727962604736,0.73625253158358672
160,44390.836213092043,2.6645352591003757e-14,0.099999577422391905,0.94380115293440325,1.0717791313355396,0,0,0.0040023839929185928,0.68103154071656191
180,44390.836213091898,2.9976021664879227e-14,0.1026997451155868,0.97312611507688784,1.0711523479543159,0,0,0.0038991829857751917,0.63768519097506948
200,44390.836213091716,3.1530333899354446e-14,0.10943467977521953,0.98844248400553647,1.0503814382786738,0,0,0.0041813020264760137,0.69115022523311775
220,44390.836213092385,3.4083846855992306e-14,0.10727511126738784,0.95814051444655024,1.0796513470326952,0,0,0.0035028684335363797,0.51327455784661535
240,44390.836213091308,3.7747582837255322e-14,0.10298567008828416,0.94925785667616003,1.0574320464308586,0,0,0.0034059667492429418,0.48383273505415647
260,44390.836213091883,4.0190073491430667e-14,0.097837118042433169,0.98116593065717461,1.0508223855601635,0,0,0.0033259941775271099,0.57681629370150944
280,44390.836213092145,4.2188474935755949e-14,0.092465534532022137,0.95311273435554988,1.0495468181920791,0,0,0.0025370196644736442,0.44487854339550381
300,44390.836213092058,4.4408920985006262e-14,0.093262596093541109,0.96547555638962101,1.052160853848497,0,0,0.0024029611429941394,0.3209266463668452
320,44390.836213091723,4.6629367034256575e-14,0.096595411502641101,0.99850736970901721,1.043313774388124,0,0,0.0021157516913694122,0.35738772399361768
340,44390.836213092298,5.0182080713057076e-14,0.092274738627295919,0.98855800724936238,1.0602063547346106,0,0,0.0017856727831907296,0.28549473437434014
360,44390.836213092065,5.3956838996782608e-14,0.088661990254103887,0.97975886447127192,1.0824170747323123,0,0,0.0036148244300555979,0.29977948225850698
380,44390.836213091905,5.6399329650957952e-14,0.090951986573523033,0.97821683761222433,1.0265400263874871,0,0,0.0026558312914578622,0.37344344884546887
400,44390.836213091781,6.0174087934683484e-14,0.093357270522061261,0.96792599218924813,1.0355899355393468,0,0,0.0013931225465771344,0.31368757794162283
420,44390.836213092487,6.0396132539608516e-14,0.095869165344011048,0.95520327599969657,1.0545363154461584,7,0,0.0017876851618735604,0.39138690704746604
440,44390.836213092174,6.283862319378386e-14,0.098479513756051809,0.97789072240260722,1.0359476505738598,0,0,0.0010003989331127394,0.35403838923255732
460,44390.83621309216,6.5503158452884236e-14,0.10118069633734415,0.98797503350186788,1.0497766339404881,0,0,0.00068980640493606499,0.36416303190746185
480,44390.836213091796,6.5947247662734299e-14,0.1039656335663043,0.96745177867427734,1.0586348966889221,7,0,0.0017753384291273044,0.31588054667940224
500,44390.836213092174,7.1054273576010019e-14,0.10682777559195374,0.99399045230658822,1.0520549800421994,0,0,0.0013619508538612393,0.42000958158744084
520,44390.836213092007,7.2164496600635175e-14,0.1097610832211877,0.97839464900429829,1.0432043611795676,13,0,0.0011617758509374215,0.35522706296863005
540,44390.836213092509,7.4718009557273035e-14,0.11276000297838502,0.95719188377154418,1.0503627693990105,0,0,0.0011766793650654084,0.2981206936890225
560,44390.836213092589,7.5162098767123098e-14,0.11581943850609375,0.97923680850458794,1.0445093601864923,13,0,0.0017281259817635702,0.30322474173292624
580,44390.83621309189,7.7382544816373411e-14,0.11893472005501891,0.99473267279165178,1.0483744996675863,13,0,0.0015486147306976936,0.3061801541833804
600,44390.83621309165,8.0380146982861334e-14,0.12210157337020219,0.97676654274880426,1.0479335126569973,0,0,0.00092043425346787638,0.26310276355220652
620,44390.836213092465,8.2156503822261584e-14,0.12531608891858065,0.98124306317252552,1.0503831945119164,0,0,0.0011530541274746287,0.26366333306335055
640,44390.836213092029,8.3488771451811772e-14,0.12857469211493366,0.99502486563369363,1.0213862642871703,16,0,0.00098406832240118675,0.24432201280344878
660,44390.836213091767,8.5043083686286991e-14,0.13187411497926346,0.97077889970124642,1.0417778298170528,0,0,0.00066913544144725501,0.24194842083631124
680,44390.836213091869,8.7041485130612273e-14,0.13521136948855558,0.97979589225031238,1.0490068026808994,16,0,0.00099973836136689476,0.19801557731987854
700,44390.836213092574,9.0372154204487742e-14,0.13858372275966449,0.99899522890264392,1.0390794015529532,16,0,0.0012055981176143024,0.20516869060633081
720,44390.836213091527,9.1926466438962962e-14,0.14198867410872615,0.99749177808023515,1.04908750427122,13,0,0.00092602974393196646,0.16644751542656297
740,44390.836213092007,9.3480778673438181e-14,0.14542393396829817,0.98318224592306169,1.0461310280764398,9,0,0.0010598308318960636,0.18463642445618331
760,44390.836213091527,9.4368957093138306e-14,0.14888740459995065,0.98887787937060734,1.0191004186483423,0,0,0.0007547085916420615,0.14233444037406295
