step,water,bank,speed,rmin,rmax,overhang,bad,span_velocity,span_difference
0,18161.363082481708,0,0.053452248382484885,1,1.0156000000000001,0,0,0,0
20,18161.36308248149,5.3290705182007514e-15,0.052979456520466095,0.96401861345091278,1.0568175329050031,0,0,1.5265566588595902e-16,0
40,18161.363082481621,8.4376949871511897e-15,0.052229475922243848,0.9429929491744431,1.0526538821780571,0,0,2.0816681711721685e-16,0
60,18161.36308248149,1.2656542480726785e-14,0.053560496807655428,0.97942765419601552,1.0596458589418853,0,0,1.9428902930940239e-16,0
80,18161.363082481093,1.4988010832439613e-14,0.045010549825823379,0.97518226298560795,1.0538720380862194,0,0,2.1510571102112408e-16,0
100,18161.363082481486,1.6653345369377348e-14,0.044628299254596264,0.9737845677959065,1.0403259436029195,0,0,2.0816681711721685e-16,0
120,18161.363082481064,1.9539925233402755e-14,0.044910918251987723,0.97348925011396581,1.0377566549677069,0,0,2.1510571102112408e-16,0
140,18161.363082481614,2.3203661214665772e-14,0.048035731725700734,0.98726139794555845,1.0496245073684403,0,0,2.0122792321330962e-16,0
160,18161.363082481152,2.5757174171303632e-14,0.045760435947125547,0.99807426533645649,1.0564067195890101,0,0,2.1510571102112408e-16,0
180,18161.363082481388,2.7755575615628914e-14,0.041916974955352453,0.9965223679636448,1.0328350618765056,0,0,2.0122792321330962e-16,0
200,18161.363082481446,3.0198066269804258e-14,0.040164640239594512,0.96850940695513688,1.0304757892685088,0,0,2.2204460492503131e-16,0
