step,emax,scatter,incident,energy
0,0.99439912246609408,0,0,0
25,1.0045376696733685,7.3063687073336851e-31,86.691566871398365,87.652961310822931
50,0.99969094732343766,6.5769230737271591e-31,86.428007232588584,87.658198101329191
75,0.99971553387633916,7.1284811303001932e-31,85.208582514601005,87.680002873228474
100,0.99168106523626975,7.9408775687466037e-31,83.860797240870923,87.662862941132474
125,0.99685425273700146,5.0049277836164636e-31,83.232978260880159,87.66571076620221
150,0.995678895741273,5.3856789987294593e-31,83.339867580773799,87.652798638997481
175,1.0026640422390505,6.8617137134258537e-31,83.416669571046285,87.655017883670169
200,0.99785780586243578,6.2259652302854632e-31,82.722102395163191,87.66886421449064
225,0.99954552404115493,6.0777792545853109e-31,81.212605557135177,87.663782923253777
250,0.99451660085750726,5.4888888215290084e-31,79.489278542074373,87.670052121904618
275,0.999006242383364,5.1881294695083145e-31,78.180463253902118,87.658852777472063
300,0.99632534679163465,4.0388949029620578e-31,77.40522349155151,87.657891411344522
325,1.0005190510136017,5.942181698973233e-31,76.750414296342811,87.663609980473581
350,0.99674957652914287,5.7527895532191086e-31,75.684315267653645,87.660004597842246
375,0.99969522116505072,4.6920632949010063e-31,74.01655648400363,87.668297589400737
400,0.99629927235431359,5.0107888111821574e-31,72.034775877241188,87.661155266642297
425,0.99965360231197442,6.0063550131553632e-31,70.240149933523554,87.661858671231258
450,0.99674288138655487,5.5389968759900326e-31,68.918664564191829,87.663505229537449
475,0.99976863879774502,5.5697710760795717e-31,67.919966005011034,87.659181491050077
500,0.99690982891678614,4.3798559319223328e-31,66.838145963659656,87.666133726238627
525,0.99962971528777955,5.5505656424909669e-31,65.411159773322225,87.660517284063545
550,0.99702668027819119,5.1706501147179572e-31,63.757454154443629,87.663288315184914
575,0.9995711924734918,4.8625712827623807e-31,62.244525951962657,87.663876464360314
600,0.9972027530772628,4.5684696073565905e-31,61.15588426373354,87.660207708369526
625,0.99950903316889184,4.0615625305359723e-31,60.48515973815168,87.665327908597234
650,0.99735461925919733,4.3324895239391058e-31,59.99752844292049,87.659322512886249
675,0.99943112967350578,6.3144184309670766e-31,59.441824861311396,87.662942550017291
700,0.99750140397538589,5.0810752885345783e-31,58.735337024261391,87.663837805761077
725,0.99935193733447214,5.2801968511251359e-31,58.040209915911021,87.662685414174248
750,0.99764518880957931,4.0734782189804088e-31,57.693303936051635,87.666580156411229
775,0.99926767171143549,4.618125824014508e-31,57.955398529372374,87.658249921422353
800,0.99778356991460748,3.769312458309759e-31,58.709011031379539,87.65977428156603
825,0.99917834095099667,5.4555432683000691e-31,59.452297510619708,87.660756605753548
850,0.99791710752018303,4.960362906398728e-31,59.788004445494892,87.665027897551212
875,0.99908419852259489,4.3187875375632928e-31,59.939728227473871,87.671592763325592
900,0.99804585120115274,3.992357892992497e-31,60.560128290757355,87.661767184205402
925,0.99900594536835929,4.6776794648535792e-31,62.01231666127142,87.65740508742023
950,0.99909001032589173,5.263586808751973e-31,63.970485455960116,87.653615679248588
975,1.0153951546074382,5.9298438830563927e-31,65.584172008251997,87.661498254908736
1000,1.0057332872833287,4.2259897629199097e-31,66.491701372221684,87.67432140176679
1025,1.0063916905287151,5.4708826817304113e-31,67.167504406594219,87.669092898589
1050,0.98486512502974155,4.1653289944724507e-31,68.453447911672228,87.661665481263256
1075,0.98725594340057832,5.5831555807614514e-31,70.538113420959405,87.650001917480324
1100,0.989012790986327,4.7854577813026015e-31,72.74673320476272,87.654654816759077
1125,0.99191007464928349,7.1404308508192317e-31,74.290688391426315,87.670061156498349
1150,0.99596547407839209,5.8459961155110674e-31,75.126182715291861,87.672803849734464
1175,1.0045846131433687,6.4834790713000257e-31,75.976570400203485,87.669278760971665
1200,0.99678349765645147,7.0427412893550792e-31,77.4377159869628,87.6528313587376
1225,1.0046055076690534,6.5354720442892685e-31,79.318442782300664,87.649179327886912
1250,1.0154540760492912,5.6105656493609534e-31,80.748424611812268,87.665531533927535
1275,0.99150040536247419,5.5568745760423321e-31,81.559610769830584,87.668558185587088
1300,1.0073020607722185,6.7577418836166633e-31,82.067385612128135,87.675297151327115
1325,0.99211747979538134,6.1255100716401373e-31,82.792705990687097,87.65733889111138
1350,1.0073788171351241,5.6825706697241759e-31,83.801533854481818,87.655080808316271
1375,1.0107887747303392,8.3016138118437722e-31,84.823932559691642,87.660236506336759
1400,0.99263771198980455,7.4189678253820808e-31,85.472881020732672,87.662705465404471
1425,0.99751907462453915,5.8738904439074136e-31,85.727153997702942,87.668433502542428
1450,0.99855971992792314,6.546163407821969e-31,85.887026787745228,87.661960454577041
1475,0.99250184766033722,7.8171557221716034e-31,86.204848553425762,87.659070689014456
1500,0.99940450077692788,6.2763462231874624e-31,86.631610043045413,87.657241768481043
