step,emax,scatter,incident,energy
0,0.99439912246609408,0,0,0
25,1.0045376696733685,3.442206412897184e-17,86.691566871398365,87.727913534237004
50,0.99969094732343766,1.5934182801697415e-08,86.428007232588584,87.733539916678552
75,0.99971553387633916,0.00023180786878879584,85.208582514601005,87.755784086000233
100,0.99168106523626975,0.0070011547852049608,83.860797240870923,87.738520659006781
125,0.99685425273700146,0.012168494630417212,83.232978260880159,87.738396833482483
150,0.995678895741273,0.017962473728411515,83.339867580773799,87.720236060674779
175,1.002664042636443,0.025754107929316525,83.416669571046285,87.718304683772914
200,0.99786170567054355,0.033012194240802401,82.722102395163191,87.731577415641794
225,1.0041017877179357,0.040237069771457731,81.212605557135177,87.727642513516273
250,1.020904817699446,0.049223195948383369,79.489278542074373,87.732309636535021
275,1.0378857013398717,0.057639952584753303,78.180463253902118,87.714630179147179
300,1.033864170981595,0.065266691786972364,77.40522349155151,87.705569230727278
325,1.0401907778611632,0.07337494280771141,76.750414296342811,87.706058566393736
350,1.0260278830484033,0.084166640211556898,75.684315267653645,87.700257044523497
375,1.0321411756673213,0.099567144456031195,74.01655648400363,87.706221953871278
400,1.0308638990045547,0.11806492260286473,72.034775877241188,87.694149487716686
425,1.0361976947638141,0.13413572903004578,70.240149933523554,87.688167427305288
450,1.0312546228516186,0.14400038799435941,68.918664564191829,87.682809376688795
475,1.0340474239200419,0.15484855701901962,67.919966005011034,87.672158547615965
500,1.0297258253509896,0.18015947429318932,66.838145963659656,87.674120106183977
525,1.03114734299004,0.2179418916773545,65.411159773322225,87.661753349662163
550,1.0284541894350769,0.24589900378935955,63.757454154443629,87.658181629378134
575,1.031347094249325,0.25807674579500156,62.244525951962657,87.65779768310496
600,1.0288376444043426,0.27396708762746352,61.15588426373354,87.653297880804899
625,1.0405208593648485,0.29949137546688726,60.48515973815168,87.652122611948556
650,1.0475510583790419,0.32617438690400219,59.99752844292049,87.638896691657592
675,1.0522121918872616,0.34667525734330812,59.441824861311396,87.636036630272457
700,1.0475289045136682,0.36111576627619973,58.735337024261391,87.635327263083099
725,1.0440548076344653,0.37998972601452169,58.040209915911021,87.639594523728917
750,1.0430936342623118,0.39914263759215279,57.693303936051635,87.648118416652807
775,1.0498939138992163,0.42482186398072613,57.955398529372374,87.641398825692818
800,1.0507144452799559,0.45506355415479061,58.709011031379539,87.640841988896909
825,1.0570469218635616,0.48653415611062484,59.452297510619708,87.640370410324294
850,1.0593602496959278,0.51722585281623368,59.788004445494892,87.648227602651943
875,1.0685641483955712,0.5419385345496387,59.939728227473871,87.665294599115583
900,1.0680510647038781,0.56745836159120677,60.560128290757355,87.667773991508398
925,1.07472478679371,0.60897717326754564,62.01231666127142,87.672413555422168
950,1.0722086438911644,0.66130501212163051,63.970485455960116,87.672761097122617
975,1.1239544518924465,0.71212171985878958,65.584172008251997,87.682520166692697
1000,1.144917012319024,0.7495523078669134,66.491701372221684,87.700341760983065
1025,1.1882964292336022,0.77560267670133154,67.167504406594219,87.706537832660317
1050,1.1823654658048002,0.80576839616345219,68.453447911672228,87.713003605434835
1075,1.1726012062623901,0.85111290925061001,70.538113420959405,87.712369351978751
1100,1.1705590903908947,0.91484751277144383,72.74673320476272,87.722766598537504
1125,1.1604918466315921,0.98345371653660774,74.290688391426315,87.741047202859008
1150,1.1586559123054732,1.0287410678119799,75.126182715291861,87.747741761245265
1175,1.1404580160134672,1.0290747446216342,75.976570400203485,87.752329726730437
1200,1.1178483661781837,1.0240092272715653,77.4377159869628,87.745348964916488
1225,1.1235247769477867,1.0891701083376999,79.318442782300664,87.749992926207938
1250,1.0980402029482295,1.1711451274365006,80.748424611812268,87.771148523693711
1275,1.0993258969942568,1.2040492401997156,81.559610769830584,87.776331030476925
1300,1.0901998314461523,1.207225504908308,82.067385612128135,87.785248232482544
1325,1.0757569720767808,1.2129120634110788,82.792705990687097,87.770566455081081
1350,1.1050147494474265,1.2442751594942403,83.801533854481818,87.769952329998063
1375,1.1083262001024106,1.2737144680788079,84.823932559691642,87.779691285893264
1400,1.099309627076779,1.2945852057809242,85.472881020732672,87.787968134109761
1425,1.1134425926384814,1.3246891490775639,85.727153997702942,87.796641640964665
1450,1.1216979565544321,1.3629573889847033,85.887026787745228,87.789554285506426
1475,1.118819732057337,1.3796585829301944,86.204848553425762,87.784779836466328
1500,1.1276925923628436,1.3667254130959738,86.631610043045413,87.783274001303866
