t pf sf rp rs energy modified
0.046875 0.37629983058725924 0.3156095293238149 0.23385260353913706 0.15332627276425256 0.002884605460140719 0.0028824850777977393
0.096875 0.4790534286486216 0.3775951866748304 0.18750484065048428 0.2328124905067288 0.0028840658799339984 0.002882485077797661
0.146875 0.5796011559684815 0.4375 0.27849639082946137 0.17185353948528548 0.0028839217449368143 0.0028824850777976253
0.19687500000000002 0.6774838558962125 0.48210151939192225 0.36613075825870384 0.1912439163174809 0.002883875825973925 0.0028824850777976934
0.246875 0.7818747501998002 0.5358258812338202 0.4530614270741877 0.26409787287787556 0.0028840035555196385 0.002882485077797544
0.296875 0.8777857440742587 0.5837981778834189 0.5403996047772909 0.28053681425089777 0.002883958089646886 0.002882485077797523
0.34687500000000004 0.9712668917450034 0.6373774391990981 0.628664019066762 0.3303184027460312 0.002883976269131332 0.0028824850777971257
0.39687500000000003 1.067085692435242 0.6889189901577688 0.7171813332573157 0.3684002590511499 0.0028839701962039615 0.002882485077797499
0.446875 1.1604652892266965 0.7322109071162488 0.8058375435742414 0.4124941813544243 0.0028839719436095364 0.0028824850777973803
0.496875 1.2539001654836799 0.7843687748756958 0.8948456673847127 0.45518321315917326 0.0028839712846900527 0.0028824850777968646
0.546875 1.3470163788907692 0.8297448779594846 0.9837720560412561 0.4992557571379152 0.0028839718763331106 0.0028824850777972736
0.596875 1.4391973674586818 0.8805626752253357 1.0729046248014626 0.5424676851191104 0.0028839712644560885 0.0028824850777970316
0.6468750000000001 1.5315688443553557 0.9259707743768159 1.1620812910042098 0.5869780303245055 0.0028839718620663857 0.0028824850777966495
0.696875 1.623196114152569 0.9737772781801802 1.2512606969405224 0.6306814635910947 0.0028839715047800905 0.0028824850777971625
0.7468750000000001 1.7156221539138505 1.0217364202669885 1.3405741414510546 0.674964632177926 0.0028839716894594547 0.002882485077796619
0.796875 1.807914458015091 1.0702839868464817 1.4297696761428444 0.7190926246028393 0.00288397153783205 0.0028824850777969735
