step,water,bank,speed,rmin,rmax,overhang,bad,gauge_offshore,gauge_surf,shore_overhang,downward_speed,runup
0,7313.9257771068433,0,0.067915865126988995,1,1.0118503601412658,0,0,23.552394058693082,10.50000930619936,0,0,0
20,7313.925777106886,5.773159728050814e-15,0.069377856349263078,0.95529986038585635,1.0614747459621339,0,0,23.724852474147099,10.497545062035108,0,0.00015674464786129272,0
40,7313.9257771068696,8.8817841970012523e-15,0.069470255366047895,0.95210387597210999,1.0690004021171544,0,0,24.470690016679285,10.497425708027009,0,0.00063712022169123625,0
60,7313.9257771069106,1.2212453270876722e-14,0.067211137187524944,0.94430792318785839,1.0555773678356659,0,0,25.595665238818469,10.499180685717365,0,0.00044895292474571302,0
80,7313.9257771068669,1.4876988529977098e-14,0.068873952063018481,0.93789223290594315,1.0898182130696716,0,0,26.628735202152836,10.498629862171958,0,0.00022969241011154898,0
100,7313.925777106906,1.6986412276764895e-14,0.06925204510040206,0.95371747279390562,1.1062015998711836,0,0,27.793649311365964,10.499425037941512,0,0.0040658657010628971,0
120,7313.9257771068715,1.9539925233402755e-14,0.065821596925490139,0.95656615603262685,1.0578296383973083,0,0,28.925925094319584,10.504034506341238,0,0.0048167690077677294,0
140,7313.925777106876,2.2426505097428162e-14,0.076509674911911574,0.96241111240244392,1.0389167756757292,0,0,30.216477171775487,10.525705296095291,0,0.018156596036182391,0
160,7313.9257771068887,2.5313084961453569e-14,0.078666951796523429,0.93821527219927203,1.0512666807856335,0,0,31.725869809901457,10.564328098988755,0,0.022902081754660429,0
180,7313.9257771068997,2.7977620220553945e-14,0.071855204428630109,0.96568024559607613,1.0666466487818591,0,0,33.255197285844467,10.461292777372705,0,0.012249484649502301,0
200,7313.9257771068833,3.0975222387041867e-14,0.073413598638526895,0.96290051693832157,1.0388316611584434,0,0,34.405976651769379,10.357089692653503,0,0.0021676155177882128,0
220,7313.9257771068869,3.3084646133829665e-14,0.073167918679668167,0.96070966776015987,1.0951845241378542,0,0,35.824899345146022,10.599639408018247,0,0.0017142020835869999,0
240,7313.9257771069051,3.6415315207705135e-14,0.076934078704060938,0.94839490982662755,1.0342813345812139,0,0,36.701262456610287,10.711609570165852,0,0.0095785401140213826,0
260,7313.9257771068778,3.985700658404312e-14,0.076882190370750794,0.95348403132311543,1.0416542653988592,0,0,37.694166828023185,10.425840050759161,0,0.032352046554403581,0
280,7313.9257771068969,4.2632564145606011e-14,0.071728222434228717,0.96860552113684317,1.0811091952842138,0,0,38.305812840904856,10.3941812557517,0,0.0099765813883831884,0
300,7313.925777106856,4.4408920985006262e-14,0.071464814754028785,0.97772000826601191,1.0420134498286615,0,0,38.664117508726839,10.538887718150315,0,0.0024588108504119618,0
320,7313.9257771068787,4.6851411639181606e-14,0.070508329062510935,0.95981407417600906,1.0554195089223131,0,0,38.758986966538096,10.548254585641331,0,0.0052904740290501164,0
340,7313.9257771068524,4.9737991503207013e-14,0.069534356479426046,0.93936810828916795,1.0406434118530687,0,0,38.669066176060369,10.655561684248898,0,0.017830386100657812,0
360,7313.9257771068678,5.3068660577082483e-14,0.070297697260395448,0.97596495986634668,1.0564864022659486,0,0,38.520197639263763,10.573167247870002,0,0.027090604466336529,0
380,7313.925777106856,5.6177285046032921e-14,0.068346568813107925,0.96868273055290821,1.0744302695148888,0,0,38.055904945932824,10.38378350809476,0,0.011070522762840471,0
400,7313.9257771068687,5.7065463465733046e-14,0.066442164216565083,0.97121609261691488,1.0479766214135204,0,0,37.577645945825481,10.515262699565662,0,0.0039494255335376961,0
420,7313.9257771068997,5.9729998724833422e-14,0.063921433270568526,0.97146406251933182,1.039722857513683,0,0,37.015492478596123,10.617636268116113,0,0.0054184652796283386,0
